"state_abb","year","elxn_year","state_year_type","state_year_type2","grant_mil","state_incvote_avglast3"
"AK",1984,1,"core + election",NA,51.7142190443042,0.63954186
"AK",1985,0,"core + nonelection",NA,51.1454256895459,0.6608231
"AK",1986,0,"core + nonelection",NA,47.3356734488336,0.6608231
"AK",1987,0,"core + nonelection",NA,47.8505418484599,0.6608231
"AK",1988,1,"core + election",NA,52.502433282075,0.6608231
"AK",1989,0,"core + nonelection",NA,51.6433560240688,0.661728
"AK",1990,0,"core + nonelection",NA,53.6989197527465,0.661728
"AK",1991,0,"core + nonelection",NA,52.9196639626941,0.661728
"AK",1992,1,"core + election",NA,57.4078745748059,0.661728
"AK",1993,0,NA,NA,59.9956566133875,0.37402168
"AK",1994,0,NA,NA,59.3041949630666,0.37402168
"AK",1995,0,NA,NA,57.9832099163137,0.37402168
"AK",1996,1,NA,NA,53.7719339040951,0.37402168
"AK",1997,0,NA,NA,57.5236102006895,0.40277973
"AK",1998,0,NA,NA,60.5089222460048,0.40277973
"AK",1999,0,NA,NA,83.5937620329238,0.40277973
"AK",2000,1,NA,NA,90.9560437755797,0.40277973
"AK",2001,0,"core + nonelection",NA,101.579831603109,0.6164657
"AK",2002,0,"core + nonelection",NA,132.350232519218,0.6164657
"AK",2003,0,"core + nonelection",NA,119.050981547287,0.6164657
"AK",2004,1,"core + election",NA,125.297388461223,0.6164657
"AK",2005,0,"core + nonelection",NA,117.810048730541,0.6386391
"AK",2006,0,"core + nonelection",NA,118.778933500646,0.6386391
"AK",2007,0,"core + nonelection",NA,112.738450207551,0.6386391
"AK",2008,1,"core + election",NA,97.1865528148148,0.6386391
"AL",1984,1,"core + election",NA,47.7225781949659,0.55980855
"AL",1985,0,NA,NA,50.0675705759223,0.5175767
"AL",1986,0,NA,NA,46.1501518394016,0.5175767
"AL",1987,0,NA,NA,43.6723268084257,0.5175767
"AL",1988,1,NA,NA,48.1443619515102,0.5175767
"AL",1989,0,"core + nonelection",NA,41.0432240371135,0.57228434
"AL",1990,0,"core + nonelection",NA,53.3034035939719,0.57228434
"AL",1991,0,"core + nonelection",NA,57.6060571809479,0.57228434
"AL",1992,1,"core + election",NA,65.8527391839027,0.57228434
"AL",1993,0,NA,NA,73.5076220541891,0.41723302
"AL",1994,0,NA,NA,76.3340163312655,0.41723302
"AL",1995,0,NA,NA,79.3284746827213,0.41723302
"AL",1996,1,NA,NA,75.6238485706743,0.41723302
"AL",1997,0,NA,NA,78.8189667628843,0.44233143
"AL",1998,0,NA,NA,82.9490138794288,0.44233143
"AL",1999,0,NA,NA,89.6006802680368,0.44233143
"AL",2000,1,NA,NA,93.1084173173239,0.44233143
"AL",2001,0,"core + nonelection",NA,98.2687879865869,0.55046844
"AL",2002,0,"core + nonelection",NA,108.391786220832,0.55046844
"AL",2003,0,"core + nonelection",NA,110.827500409341,0.55046844
"AL",2004,1,"core + election",NA,113.18064289368,0.55046844
"AL",2005,0,"core + nonelection",NA,116.574601657831,0.5807239
"AL",2006,0,"core + nonelection",NA,115.849304733138,0.5807239
"AL",2007,0,"core + nonelection",NA,116.660413578675,0.5807239
"AL",2008,1,"core + election",NA,104.22019261194,0.5807239
"AR",1984,1,NA,NA,25.5463374370298,0.51481026
"AR",1985,0,NA,NA,25.5855814318865,0.48841485
"AR",1986,0,NA,NA,25.9648789645628,0.48841485
"AR",1987,0,NA,NA,22.8215015519111,0.48841485
"AR",1988,1,NA,NA,23.6086769818972,0.48841485
"AR",1989,0,"core + nonelection",NA,24.4137991475431,0.5624631
"AR",1990,0,"core + nonelection",NA,28.0795124707378,0.5624631
"AR",1991,0,"core + nonelection",NA,30.0533085169588,0.5624631
"AR",1992,1,"core + election",NA,34.6865606003092,0.5624631
"AR",1993,0,NA,NA,39.4532666368094,0.47191012
"AR",1994,0,NA,NA,40.3790343963721,0.47191012
"AR",1995,0,NA,NA,40.9418647538022,0.47191012
"AR",1996,1,NA,NA,41.4562964603496,0.47191012
"AR",1997,0,NA,NA,42.5095101957151,0.5405115
"AR",1998,0,NA,NA,44.4249488975661,0.5405115
"AR",1999,0,NA,NA,46.3512016109071,0.5405115
"AR",2000,1,NA,NA,49.7985256651601,0.5405115
"AR",2001,0,NA,NA,58.9804252178703,0.444852
"AR",2002,0,NA,NA,63.3031469037685,0.444852
"AR",2003,0,NA,NA,68.2028345193238,0.444852
"AR",2004,1,NA,NA,68.7975737798715,0.444852
"AR",2005,0,NA,NA,65.7444449469628,0.49461204
"AR",2006,0,NA,NA,64.3816053621115,0.49461204
"AR",2007,0,NA,NA,69.5009132180164,0.49461204
"AR",2008,1,NA,NA,65.6248003466667,0.49461204
"AZ",1984,1,"core + election",NA,148.120051083947,0.64603263
"AZ",1985,0,"core + nonelection",NA,134.886893320068,0.6464737
"AZ",1986,0,"core + nonelection",NA,146.062590614288,0.6464737
"AZ",1987,0,"core + nonelection",NA,120.502273373606,0.6464737
"AZ",1988,1,"core + election",NA,135.107649026511,0.6464737
"AZ",1989,0,"core + nonelection",NA,143.760418484248,0.65357435
"AZ",1990,0,"core + nonelection",NA,187.124382316488,0.65357435
"AZ",1991,0,"core + nonelection",NA,197.711267264566,0.65357435
"AZ",1992,1,"core + election",NA,248.796004226574,0.65357435
"AZ",1993,0,NA,NA,301.299451841444,0.40279293
"AZ",1994,0,NA,NA,300.653241886382,0.40279293
"AZ",1995,0,NA,NA,335.36714947687,0.40279293
"AZ",1996,1,NA,NA,310.665239645725,0.40279293
"AZ",1997,0,"swing + nonelection",NA,325.17995769032,0.46392792
"AZ",1998,0,"swing + nonelection",NA,358.221738448962,0.46392792
"AZ",1999,0,"swing + nonelection",NA,379.044280985222,0.46392792
"AZ",2000,1,"swing + election year","swing state
(successor election year)",391.418907096299,0.46392792
"AZ",2001,0,"swing + nonelection",NA,432.172812084902,0.51120245
"AZ",2002,0,"swing + nonelection",NA,513.678045220226,0.51120245
"AZ",2003,0,"swing + nonelection",NA,543.222006518483,0.51120245
"AZ",2004,1,"swing + election year","swing state
(incumbent re-election year)",612.333790110052,0.51120245
"AZ",2005,0,"swing + nonelection",NA,610.038962181429,0.5244461
"AZ",2006,0,"swing + nonelection",NA,606.435765583307,0.5244461
"AZ",2007,0,"swing + nonelection",NA,633.056585053565,0.5244461
"AZ",2008,1,"swing + election year","swing state
(successor election year)",670.619039466667,0.5244461
"CA",1984,1,"core + election",NA,376.425774457848,0.55786633
"CA",1985,0,"core + nonelection",NA,392.130943125811,0.5620443
"CA",1986,0,"core + nonelection",NA,409.865670104242,0.5620443
"CA",1987,0,"core + nonelection",NA,379.824828584795,0.5620443
"CA",1988,1,"core + election",NA,399.962889626059,0.5620443
"CA",1989,0,"core + nonelection",NA,367.637972127869,0.5650093
"CA",1990,0,"core + nonelection",NA,453.35831224603,0.5650093
"CA",1991,0,"core + nonelection",NA,475.006624779351,0.5650093
"CA",1992,1,"core + election",NA,562.128358961259,0.5650093
"CA",1993,0,NA,NA,689.727902596356,0.4949496
"CA",1994,0,NA,NA,761.158782664927,0.4949496
"CA",1995,0,NA,NA,782.380503776833,0.4949496
"CA",1996,1,NA,NA,746.301076871265,0.4949496
"CA",1997,0,NA,NA,789.054284901897,0.54641896
"CA",1998,0,NA,NA,794.32793535496,0.54641896
"CA",1999,0,NA,NA,870.089904700877,0.54641896
"CA",2000,1,NA,NA,865.846567359452,0.54641896
"CA",2001,0,NA,NA,910.750579917406,0.42688003
"CA",2002,0,NA,NA,959.137336796117,0.42688003
"CA",2003,0,NA,NA,999.29158575169,0.42688003
"CA",2004,1,NA,NA,1029.42897109321,0.42688003
"CA",2005,0,NA,NA,1014.94567099417,0.43846473
"CA",2006,0,NA,NA,985.818254878634,0.43846473
"CA",2007,0,NA,NA,1013.79685877722,0.43846473
"CA",2008,1,NA,NA,1390.03899525862,0.43846473
"CO",1984,1,"core + election",NA,38.174271097429,0.61425936
"CO",1985,0,"core + nonelection",NA,37.2654493204061,0.6141124
"CO",1986,0,"core + nonelection",NA,36.1754637337145,0.6141124
"CO",1987,0,"core + nonelection",NA,36.3596387868833,0.6141124
"CO",1988,1,"core + election",NA,38.3785432805088,0.6141124
"CO",1989,0,"core + nonelection",NA,41.6260307731752,0.6075076
"CO",1990,0,"core + nonelection",NA,44.2191488811119,0.6075076
"CO",1991,0,"core + nonelection",NA,48.766636588876,0.6075076
"CO",1992,1,"core + election",NA,52.417920145118,0.6075076
"CO",1993,0,NA,NA,62.8170595851409,0.44827464
"CO",1994,0,NA,NA,60.2873526581725,0.44827464
"CO",1995,0,NA,NA,60.260347564197,0.44827464
"CO",1996,1,NA,NA,59.7745401034406,0.44827464
"CO",1997,0,"swing + nonelection",NA,61.3675778881233,0.4936301
"CO",1998,0,"swing + nonelection",NA,65.4863211163286,0.4936301
"CO",1999,0,"swing + nonelection",NA,71.3101012647972,0.4936301
"CO",2000,1,"swing + election year","swing state
(successor election year)",75.2243773320392,0.4936301
"CO",2001,0,"swing + nonelection",NA,78.6716167684537,0.50814325
"CO",2002,0,"swing + nonelection",NA,84.3112235243266,0.50814325
"CO",2003,0,"swing + nonelection",NA,91.9089623047875,0.50814325
"CO",2004,1,"swing + election year","swing state
(incumbent re-election year)",95.658576869287,0.50814325
"CO",2005,0,"swing + nonelection",NA,89.6126428172022,0.5253709
"CO",2006,0,"swing + nonelection",NA,95.1377841921337,0.5253709
"CO",2007,0,"swing + nonelection",NA,96.1110442712817,0.5253709
"CO",2008,1,"swing + election year","swing state
(successor election year)",96.776869546875,0.5253709
"CT",1984,1,"core + election",NA,357.166886002723,0.55836314
"CT",1985,0,"core + nonelection",NA,366.104266743088,0.56388795
"CT",1986,0,"core + nonelection",NA,352.145498529562,0.56388795
"CT",1987,0,"core + nonelection",NA,357.866927297772,0.56388795
"CT",1988,1,"core + election",NA,385.165578290451,0.56388795
"CT",1989,0,"core + nonelection",NA,361.748601442614,0.5637917
"CT",1990,0,"core + nonelection",NA,422.881420671652,0.5637917
"CT",1991,0,"core + nonelection",NA,487.64983655922,0.5637917
"CT",1992,1,"core + election",NA,510.373347237607,0.5637917
"CT",1993,0,NA,NA,604.287793753104,0.46848267
"CT",1994,0,NA,NA,614.813336112564,0.46848267
"CT",1995,0,NA,NA,628.646144255919,0.46848267
"CT",1996,1,NA,NA,642.646832187165,0.46848267
"CT",1997,0,NA,NA,630.724399799339,0.53969157
"CT",1998,0,NA,NA,655.663149425809,0.53969157
"CT",1999,0,NA,NA,671.219852973601,0.53969157
"CT",2000,1,NA,NA,705.190943757863,0.53969157
"CT",2001,0,NA,NA,730.104049546249,0.4208524
"CT",2002,0,NA,NA,760.653575543783,0.4208524
"CT",2003,0,NA,NA,757.033977006558,0.4208524
"CT",2004,1,NA,NA,750.791014310957,0.4208524
"CT",2005,0,NA,NA,731.868377113472,0.41701964
"CT",2006,0,NA,NA,703.371283246941,0.41701964
"CT",2007,0,NA,NA,734.611862531372,0.41701964
"CT",2008,1,NA,NA,903.3485545,0.41701964
"DC",NA,0,NA,NA,NA,NA
"DE",1984,1,"swing + election year","swing state
(incumbent re-election year)",196.825551123514,0.52951014
"DE",1985,0,"swing + nonelection",NA,174.5335129053,0.52824813
"DE",1986,0,"swing + nonelection",NA,178.86423843766,0.52824813
"DE",1987,0,"swing + nonelection",NA,160.391868899082,0.52824813
"DE",1988,1,"swing + election year","swing state
(successor election year)",165.911902392128,0.52824813
"DE",1989,0,"core + nonelection",NA,174.695397136778,0.5582055
"DE",1990,0,"core + nonelection",NA,190.956789325021,0.5582055
"DE",1991,0,"core + nonelection",NA,201.052639350343,0.5582055
"DE",1992,1,"core + election",NA,230.149265687933,0.5582055
"DE",1993,0,NA,NA,268.389982752699,0.46334377
"DE",1994,0,NA,NA,280.362743672159,0.46334377
"DE",1995,0,NA,NA,310.216763880976,0.46334377
"DE",1996,1,NA,NA,331.531762451784,0.46334377
"DE",1997,0,NA,NA,315.338152504421,0.5252682
"DE",1998,0,NA,NA,318.129942784071,0.5252682
"DE",1999,0,NA,NA,376.641316524195,0.5252682
"DE",2000,1,NA,NA,380.275621655941,0.5252682
"DE",2001,0,NA,NA,387.732611038263,0.43146095
"DE",2002,0,NA,NA,429.863656888938,0.43146095
"DE",2003,0,NA,NA,438.951066071999,0.43146095
"DE",2004,1,NA,NA,445.647848848696,0.43146095
"DE",2005,0,NA,NA,438.869386614658,0.4360159
"DE",2006,0,NA,NA,463.826774928641,0.4360159
"DE",2007,0,NA,NA,469.670065242151,0.4360159
"DE",2008,1,NA,NA,456.740105666667,0.4360159
"FL",1984,1,"core + election",NA,88.3192375160078,0.5949733
"FL",1985,0,"core + nonelection",NA,88.5280584549652,0.57234323
"FL",1986,0,"core + nonelection",NA,90.3656847850442,0.57234323
"FL",1987,0,"core + nonelection",NA,79.469243484283,0.57234323
"FL",1988,1,"core + election",NA,85.855335434969,0.57234323
"FL",1989,0,"core + nonelection",NA,94.0181455307326,0.6187841
"FL",1990,0,"core + nonelection",NA,107.28164066976,0.6187841
"FL",1991,0,"core + nonelection",NA,123.623548752994,0.6187841
"FL",1992,1,"core + election",NA,141.39107326807,0.6187841
"FL",1993,0,NA,NA,190.876976531319,0.40743577
"FL",1994,0,NA,NA,183.078685489184,0.40743577
"FL",1995,0,NA,NA,200.89452922846,0.40743577
"FL",1996,1,NA,NA,194.019178839112,0.40743577
"FL",1997,0,NA,NA,199.227247990777,0.46906036
"FL",1998,0,NA,NA,212.376010163945,0.46906036
"FL",1999,0,NA,NA,223.806859198357,0.46906036
"FL",2000,1,NA,NA,244.315601592502,0.46906036
"FL",2001,0,"swing + nonelection",NA,260.964596765274,0.4934481
"FL",2002,0,"swing + nonelection",NA,279.194849266333,0.4934481
"FL",2003,0,"swing + nonelection",NA,291.488434604989,0.4934481
"FL",2004,1,"swing + election year","swing state
(incumbent re-election year)",320.790669746585,0.4934481
"FL",2005,0,"swing + nonelection",NA,358.673425058846,0.4979111
"FL",2006,0,"swing + nonelection",NA,348.430126166862,0.4979111
"FL",2007,0,"swing + nonelection",NA,324.571282703607,0.4979111
"FL",2008,1,"swing + election year","swing state
(successor election year)",294.63498141791,0.4979111
"GA",1984,1,NA,NA,28.6315751990002,0.5022699
"GA",1985,0,NA,NA,28.566511526455,0.4520107
"GA",1986,0,NA,NA,28.4519014750624,0.4520107
"GA",1987,0,NA,NA,27.1058509543447,0.4520107
"GA",1988,1,NA,NA,30.0821270764367,0.4520107
"GA",1989,0,NA,NA,27.7946862380936,0.54248375
"GA",1990,0,NA,NA,32.8154710462128,0.54248375
"GA",1991,0,NA,NA,37.2222825918942,0.54248375
"GA",1992,1,NA,NA,41.2632650392267,0.54248375
"GA",1993,0,NA,NA,46.7765723989635,0.43313563
"GA",1994,0,NA,NA,50.1546351430482,0.43313563
"GA",1995,0,NA,NA,53.7465751586855,0.43313563
"GA",1996,1,NA,NA,48.9421354037266,0.43313563
"GA",1997,0,"swing + nonelection",NA,51.9056787781003,0.4650208
"GA",1998,0,"swing + nonelection",NA,53.3800848003726,0.4650208
"GA",1999,0,"swing + nonelection",NA,55.8593211390484,0.4650208
"GA",2000,1,"swing + election year","swing state
(successor election year)",63.0176028279453,0.4650208
"GA",2001,0,"swing + nonelection",NA,63.1522993211442,0.520913
"GA",2002,0,"swing + nonelection",NA,75.3389598974343,0.520913
"GA",2003,0,"swing + nonelection",NA,73.6976958087235,0.520913
"GA",2004,1,"swing + election year","swing state
(incumbent re-election year)",80.4158098213871,0.520913
"GA",2005,0,"swing + nonelection",NA,74.007138605162,0.5499008
"GA",2006,0,"swing + nonelection",NA,76.9352499497787,0.5499008
"GA",2007,0,"swing + nonelection",NA,79.2711878406508,0.5499008
"GA",2008,1,"swing + election year","swing state
(successor election year)",89.2845877798742,0.5499008
"HI",1984,1,"swing + election year","swing state
(incumbent re-election year)",195.812408360542,0.53370833
"HI",1985,0,"swing + nonelection",NA,219.882715694808,0.5111234
"HI",1986,0,"swing + nonelection",NA,217.943592182825,0.5111234
"HI",1987,0,"swing + nonelection",NA,232.566514479394,0.5111234
"HI",1988,1,"swing + election year","swing state
(successor election year)",257.396301492864,0.5111234
"HI",1989,0,"swing + nonelection",NA,280.870641381181,0.49937797
"HI",1990,0,"swing + nonelection",NA,309.192876994772,0.49937797
"HI",1991,0,"swing + nonelection",NA,293.554468058033,0.49937797
"HI",1992,1,"swing + election year","swing state
(incumbent re-election year)",352.656141808449,0.49937797
"HI",1993,0,NA,NA,491.432908216609,0.5194084
"HI",1994,0,NA,NA,448.215836810513,0.5194084
"HI",1995,0,NA,NA,397.088420606461,0.5194084
"HI",1996,1,NA,NA,395.62592584776,0.5194084
"HI",1997,0,"core + nonelection",NA,397.122331104803,0.586008
"HI",1998,0,"core + nonelection",NA,410.965572825868,0.586008
"HI",1999,0,"core + nonelection",NA,440.749335814453,0.586008
"HI",2000,1,"core + election",NA,358.560021699253,0.586008
"HI",2001,0,NA,NA,378.131372165808,0.39725524
"HI",2002,0,NA,NA,412.253989043756,0.39725524
"HI",2003,0,NA,NA,415.967892089816,0.39725524
"HI",2004,1,NA,NA,456.074282470177,0.39725524
"HI",2005,0,NA,NA,442.897996976125,0.4049737
"HI",2006,0,NA,NA,466.80147161687,0.4049737
"HI",2007,0,NA,NA,489.137310983174,0.4049737
"HI",2008,1,NA,NA,429.7337278,0.4049737
"IA",1984,1,"core + election",NA,22.89211401417,0.55437255
"IA",1985,0,"swing + nonelection",NA,21.5023645451178,0.537677
"IA",1986,0,"swing + nonelection",NA,20.6373068205725,0.537677
"IA",1987,0,"swing + nonelection",NA,26.7295618733803,0.537677
"IA",1988,1,"swing + election year","swing state
(successor election year)",20.261276794077,0.537677
"IA",1989,0,NA,NA,19.8829820341939,0.51879495
"IA",1990,0,NA,NA,22.3194911061417,0.51879495
"IA",1991,0,NA,NA,23.9893991537158,0.51879495
"IA",1992,1,NA,NA,26.1213609398689,0.51879495
"IA",1993,0,"swing + nonelection",NA,29.6191425689537,0.51719064
"IA",1994,0,"swing + nonelection",NA,33.8255105865286,0.51719064
"IA",1995,0,"swing + nonelection",NA,31.0020055714517,0.51719064
"IA",1996,1,"swing + election year","swing state
(incumbent re-election year)",28.8713995058337,0.51719064
"IA",1997,0,"swing + nonelection",NA,29.5773623006477,0.54871464
"IA",1998,0,"swing + nonelection",NA,32.9195939614633,0.54871464
"IA",1999,0,"swing + nonelection",NA,34.4797729220679,0.54871464
"IA",2000,1,"swing + election year","swing state
(successor election year)",36.4133618467897,0.54871464
"IA",2001,0,"swing + nonelection",NA,39.3213873853484,0.46790433
"IA",2002,0,"swing + nonelection",NA,47.0253493372607,0.46790433
"IA",2003,0,"swing + nonelection",NA,44.3206027196977,0.46790433
"IA",2004,1,"swing + election year","swing state
(incumbent re-election year)",43.4152065343297,0.46790433
"IA",2005,0,"swing + nonelection",NA,42.6687822086098,0.48146838
"IA",2006,0,"swing + nonelection",NA,40.5540453299211,0.48146838
"IA",2007,0,"swing + nonelection",NA,42.6612387999249,0.48146838
"IA",2008,1,"swing + election year","swing state
(successor election year)",49.3944638585859,0.48146838
"ID",1984,1,"core + election",NA,18.0805564967656,0.6846714
"ID",1985,0,"core + nonelection",NA,18.2854753132204,0.6917393
"ID",1986,0,"core + nonelection",NA,18.6626508835872,0.6917393
"ID",1987,0,"core + nonelection",NA,16.3220651196359,0.6917393
"ID",1988,1,"core + election",NA,20.1989251448535,0.6917393
"ID",1989,0,"core + nonelection",NA,19.240975500079,0.69692206
"ID",1990,0,"core + nonelection",NA,17.8656243264544,0.69692206
"ID",1991,0,"core + nonelection",NA,20.2757660636595,0.69692206
"ID",1992,1,"core + election",NA,22.5079944662711,0.69692206
"ID",1993,0,NA,NA,25.1427590985945,0.34591708
"ID",1994,0,NA,NA,26.7824293635406,0.34591708
"ID",1995,0,NA,NA,27.5354436826612,0.34591708
"ID",1996,1,NA,NA,27.9539862032589,0.34591708
"ID",1997,0,NA,NA,28.4794743959289,0.38750556
"ID",1998,0,NA,NA,32.7841853907303,0.38750556
"ID",1999,0,NA,NA,34.2877835425935,0.38750556
"ID",2000,1,NA,NA,36.2013647949291,0.38750556
"ID",2001,0,"core + nonelection",NA,41.8044186962215,0.6376967
"ID",2002,0,"core + nonelection",NA,47.2524797640833,0.6376967
"ID",2003,0,"core + nonelection",NA,45.7842759919976,0.6376967
"ID",2004,1,"core + election",NA,47.9878276399557,0.6376967
"ID",2005,0,"core + nonelection",NA,49.5138429101643,0.66990083
"ID",2006,0,"core + nonelection",NA,46.2002690796126,0.66990083
"ID",2007,0,"core + nonelection",NA,50.567888104595,0.66990083
