state,trump,biden,electors
Alabama,57,38.3,9
Alaska,50.8,43.4,3
Arizona,45.6,48.7,11
Arkansas,60.2,35,6
California,32.7,61.1,55
Colorado,40.2,53.9,9
Connecticut,32.3,57.8,7
Delaware,34.4,59.1,3
District of Columbia,8.3,87.8,3
Florida,46.5,48.8,29
Georgia,46.7,48.4,16
Hawaii,31.4,62.6,4
Idaho,57.2,38,4
Illinois,41,54.9,20
Indiana,50.6,41.8,11
Iowa,46.7,47,6
Kansas,51.3,42.1,6
Kentucky,55.2,39.7,8
Louisiana,56.6,37.3,8
Maine,39.7,53.7,4
Maryland,32.2,61.5,10
Massachusetts,28.8,66,11
Michigan,42.4,51.4,16
Minnesota,42.1,50.2,10
Mississippi,55.3,39.4,6
Missouri,51.3,44.6,10
Montana,50.5,45.2,3
Nebraska,51,44.3,5
Nevada,43.6,49.7,6
New Hampshire,42.6,54,4
New Jersey,37.3,59.7,14
New Mexico,42,52.8,5
New York,31.9,62.8,29
North Carolina,46.9,49.1,15
North Dakota,55.8,39.1,3
Ohio,47.2,46.3,18
Oklahoma,58.3,36.6,7
Oregon,37.9,57.9,7
Pennsylvania,45,50.2,20
Rhode Island,31.7,64.7,4
South Carolina,51.4,43.6,9
South Dakota,53.1,39.9,3
Tennessee,54.5,41,11
Texas,48.1,46.9,38
Utah,51.4,40.3,6
Vermont,29.3,64.6,3
Virginia,41.6,53.2,13
Washington,35.8,58.4,12
West Virginia,59.8,35.6,5
Wisconsin,43.3,51.9,10
Wyoming,63.3,30.1,3