year,state,state_abb,county,fips,D_win_margin
2012,Wisconsin,WI,Adams,55001,8.729464372508993
2012,Wisconsin,WI,Ashland,55003,30.805064500716675
2012,Wisconsin,WI,Barron,55005,-2.436982196368753
2012,Wisconsin,WI,Bayfield,55007,24.8263179403351
2012,Wisconsin,WI,Brown,55009,-1.7916976917349245
2012,Wisconsin,WI,Buffalo,55011,2.9265520670549847
2012,Wisconsin,WI,Burnett,55013,-6.499942376397371
2012,Wisconsin,WI,Calumet,55015,-11.544284632853902
2012,Wisconsin,WI,Chippewa,55017,-0.27479632742790727
2012,Wisconsin,WI,Clark,55019,-8.984856169842757
2012,Wisconsin,WI,Columbia,55021,13.582793164407775
2012,Wisconsin,WI,Crawford,55023,19.98209031597799
2012,Wisconsin,WI,Dane,55025,43.53559229537677
2012,Wisconsin,WI,Dodge,55027,-14.496043877000545
2012,Wisconsin,WI,Door,55029,6.994510780374625
2012,Wisconsin,WI,Douglas,55031,31.265833842928288
2012,Wisconsin,WI,Dunn,55033,4.965441978901417
2012,Wisconsin,WI,Eau Claire,55035,13.5204174725395
2012,Wisconsin,WI,Florence,55037,-26.361904761904768
2012,Wisconsin,WI,Fond du Lac,55039,-14.93577019587282
2012,Wisconsin,WI,Forest,55041,5.443201376936322
2012,Wisconsin,WI,Grant,55043,13.770207852193991
2012,Wisconsin,WI,Green,55045,17.332574267674147
2012,Wisconsin,WI,Green Lake,55047,-20.558139534883722
2012,Wisconsin,WI,Iowa,55049,30.46114568374022
2012,Wisconsin,WI,Iron,55051,-0.16519823788546262
2012,Wisconsin,WI,Jackson,55053,15.011274562439603
2012,Wisconsin,WI,Jefferson,55055,-7.585646213951804
2012,Wisconsin,WI,Juneau,55057,7.026295763929987
2012,Wisconsin,WI,Kenosha,55059,12.225422450770736
2012,Wisconsin,WI,Kewaunee,55061,-5.381897254688781
2012,Wisconsin,WI,La Crosse,55063,17.241813998928492
2012,Wisconsin,WI,Lafayette,55065,15.36720321931589
2012,Wisconsin,WI,Langlade,55067,-11.816712615267612
2012,Wisconsin,WI,Lincoln,55069,0.7097791798107309
2012,Wisconsin,WI,Manitowoc,55071,-2.8181242227280165
2012,Wisconsin,WI,Marathon,55073,-6.08914717586098
2012,Wisconsin,WI,Marinette,55075,-3.547191606102899
2012,Wisconsin,WI,Marquette,55077,0.27143738433066034
2012,Wisconsin,WI,Menominee,55078,73.49310094408133
2012,Wisconsin,WI,Milwaukee,55079,36.037890599623196
2012,Wisconsin,WI,Monroe,55081,-0.8211444701052031
2012,Wisconsin,WI,Oconto,55083,-9.446598519562926
2012,Wisconsin,WI,Oneida,55085,-2.147607611306121
2012,Wisconsin,WI,Outagamie,55087,-1.8108588100976775
2012,Wisconsin,WI,Ozaukee,55089,-30.309762258810046
2012,Wisconsin,WI,Pepin,55091,2.2168153555014882
2012,Wisconsin,WI,Pierce,55093,-0.7706945765937192
2012,Wisconsin,WI,Polk,55095,-8.953174146103748
2012,Wisconsin,WI,Portage,55097,13.88006202811603
2012,Wisconsin,WI,Price,55099,0.03796987723072931
2012,Wisconsin,WI,Racine,55101,3.5418520955071386
2012,Wisconsin,WI,Richland,55103,16.129404968226453
2012,Wisconsin,WI,Rock,55105,23.17759325814847
2012,Wisconsin,WI,Rusk,55107,-3.879849812265327
2012,Wisconsin,WI,Sauk,55111,18.47339242647289
2012,Wisconsin,WI,Sawyer,55113,0.48753462603878717
2012,Wisconsin,WI,Shawano,55115,-9.970905863208245
2012,Wisconsin,WI,Sheboygan,55117,-9.822668433065715
2012,Wisconsin,WI,St. Croix,55109,-12.099513250405629
2012,Wisconsin,WI,Taylor,55119,-19.32296047098402
2012,Wisconsin,WI,Trempealeau,55121,14.079074252651878
2012,Wisconsin,WI,Vernon,55123,14.731235545588333
2012,Wisconsin,WI,Vilas,55125,-12.989452391272934
2012,Wisconsin,WI,Walworth,55127,-12.339636349731371
2012,Wisconsin,WI,Washburn,55129,-2.7134704425541045
2012,Wisconsin,WI,Washington,55131,-40.12979096289146
2012,Wisconsin,WI,Waukesha,55133,-34.45435010826062
2012,Wisconsin,WI,Waupaca,55135,-18.80721220527046
2012,Wisconsin,WI,Waushara,55137,-10.18426294820717
2012,Wisconsin,WI,Winnebago,55139,3.730949951218413
2012,Wisconsin,WI,Wood,55141,-2.8868894601542436
2016,Wisconsin,WI,Adams,55001,-21.772924045651322
2016,Wisconsin,WI,Ashland,55003,11.533192178353474
2016,Wisconsin,WI,Barron,55005,-25.292584904827088
2016,Wisconsin,WI,Bayfield,55007,8.699758631545812
2016,Wisconsin,WI,Brown,55009,-10.726552384496706
2016,Wisconsin,WI,Buffalo,55011,-21.722953634802515
2016,Wisconsin,WI,Burnett,55013,-28.182546036829464
2016,Wisconsin,WI,Calumet,55015,-21.395872420262663
2016,Wisconsin,WI,Chippewa,55017,-19.083679224359173
2016,Wisconsin,WI,Clark,55019,-32.502206531332746
2016,Wisconsin,WI,Columbia,55021,-2.129589197541229
2016,Wisconsin,WI,Crawford,55023,-5.410640495867767
2016,Wisconsin,WI,Dane,55025,47.17386465903483
2016,Wisconsin,WI,Dodge,55027,-29.432253570184606
2016,Wisconsin,WI,Door,55029,-3.1690140845070403
2016,Wisconsin,WI,Douglas,55031,7.4896717160499335
2016,Wisconsin,WI,Dunn,55033,-11.144810103662131
2016,Wisconsin,WI,Eau Claire,55035,7.25699189213811
2016,Wisconsin,WI,Florence,55037,-46.33044787354159
2016,Wisconsin,WI,Fond du Lac,55039,-26.600035069261793
2016,Wisconsin,WI,Forest,55041,-26.519823788546248
2016,Wisconsin,WI,Grant,55043,-9.469183010567
2016,Wisconsin,WI,Green,55045,2.2596786937055597
2016,Wisconsin,WI,Green Lake,55047,-37.40945888368129
2016,Wisconsin,WI,Iowa,55049,15.171288743882542
2016,Wisconsin,WI,Iron,55051,-23.36288247068915
2016,Wisconsin,WI,Jackson,55053,-11.71268334771355
2016,Wisconsin,WI,Jefferson,55055,-15.874009178139339
2016,Wisconsin,WI,Juneau,55057,-25.99727241732014
2016,Wisconsin,WI,Kenosha,55059,-0.32954486480876
2016,Wisconsin,WI,Kewaunee,55061,-27.821156348763708
2016,Wisconsin,WI,La Crosse,55063,9.555647312920854
2016,Wisconsin,WI,Lafayette,55065,-8.992430174889066
2016,Wisconsin,WI,Langlade,55067,-31.34622976707461
2016,Wisconsin,WI,Lincoln,55069,-20.60383516931865
2016,Wisconsin,WI,Manitowoc,55071,-21.53125464730084
2016,Wisconsin,WI,Marathon,55073,-18.0335179457671
2016,Wisconsin,WI,Marinette,55075,-33.68253018058466
2016,Wisconsin,WI,Marquette,55077,-24.135309768149
2016,Wisconsin,WI,Menominee,55078,57.38858483189993
2016,Wisconsin,WI,Milwaukee,55079,37.01354012633817
2016,Wisconsin,WI,Monroe,55081,-21.881037112353837
2016,Wisconsin,WI,Oconto,55083,-36.88557413154469
2016,Wisconsin,WI,Oneida,55085,-18.688585665719742
2016,Wisconsin,WI,Outagamie,55087,-12.567648186815525
2016,Wisconsin,WI,Ozaukee,55089,-18.82141481576582
2016,Wisconsin,WI,Pepin,55091,-23.027547472586257
2016,Wisconsin,WI,Pierce,55093,-13.57308037189108
2016,Wisconsin,WI,Polk,55095,-27.451756121148186
2016,Wisconsin,WI,Portage,55097,3.1561720698254305
2016,Wisconsin,WI,Price,55099,-24.98350270555629
2016,Wisconsin,WI,Racine,55101,-4.354477175910681
2016,Wisconsin,WI,Richland,55103,-5.5369335816263145
2016,Wisconsin,WI,Rock,55105,10.326287006362726
2016,Wisconsin,WI,Rusk,55107,-33.76605051502751
2016,Wisconsin,WI,Sauk,55111,-0.31611213998338883
2016,Wisconsin,WI,Sawyer,55113,-18.429996710886968
2016,Wisconsin,WI,Shawano,55115,-33.85145055946535
2016,Wisconsin,WI,Sheboygan,55117,-15.9282541279021
2016,Wisconsin,WI,St. Croix,55109,-18.384272122589884
2016,Wisconsin,WI,Taylor,55119,-44.190215099114305
2016,Wisconsin,WI,Trempealeau,55121,-12.636197440585015
2016,Wisconsin,WI,Vernon,55123,-4.531063111236186
2016,Wisconsin,WI,Vilas,55125,-24.970614163972968
2016,Wisconsin,WI,Walworth,55127,-19.7665809367937
2016,Wisconsin,WI,Washburn,55129,-23.174464363795366
2016,Wisconsin,WI,Washington,55131,-39.580528954014596
2016,Wisconsin,WI,Waukesha,55133,-26.489487203085652
2016,Wisconsin,WI,Waupaca,55135,-29.776360282815865
2016,Wisconsin,WI,Waushara,55137,-32.31102591882656
2016,Wisconsin,WI,Winnebago,55139,-7.337280822546589
2016,Wisconsin,WI,Wood,55141,-19.235449735449734
