state,total,D,R,year,D_pv2p,R_pv2p
Alabama,2297295,837376,1427820,2020,0.36967043911431946,0.6303295608856805
Alaska,346524,148190,184993,2020,0.4447705915367831,0.5552294084632169
Arizona,3395329,1672054,1661677,2020,0.5015563643257359,0.4984436356742641
Arkansas,1211285,419578,757438,2020,0.35647603770891817,0.6435239622910819
California,16827982,10744672,5721411,2020,0.6525335746212381,0.34746642537876193
Colorado,3256061,1803921,1364202,2020,0.5693974002903296,0.43060259970967035
Connecticut,1823379,1080492,714613,2020,0.6019101946682784,0.39808980533172156
Delaware,504010,296268,200603,2020,0.5962674416498447,0.40373255835015526
District of Columbia,333682,307265,18172,2020,0.9441612355079477,0.055838764492052224
Florida,11067456,5297045,5668731,2020,0.48305245337858443,0.5169475466214156
Georgia,4991938,2472002,2457880,2020,0.5014322858031897,0.4985677141968104
Hawaii,573854,365802,196602,2020,0.650425672648132,0.34957432735186805
Idaho,868615,287021,554118,2020,0.3412289764236351,0.6587710235763649
Illinois,5833354,3366935,2348194,2020,0.5891266846295158,0.4108733153704842
Indiana,3026214,1240634,1724900,2020,0.4183509614120088,0.5816490385879912
Iowa,1690037,758597,897356,2020,0.45810297756035345,0.5418970224396465
Kansas,1333513,551144,752903,2020,0.42264120848405,0.5773587915159499
Kentucky,2134996,772285,1326418,2020,0.3679820346185239,0.632017965381476
Louisiana,2148062,856034,1255776,2020,0.4053555954370895,0.5946444045629105
Maine,812765,429860,359118,2020,0.5448314148176502,0.4551685851823498
Maryland,2921521,1894321,955735,2020,0.6646609750825949,0.33533902491740514
Massachusetts,3529032,2316338,1148777,2020,0.6684736293023464,0.3315263706976536
Michigan,5534909,2795366,2650232,2020,0.5133258092132398,0.4866741907867602
Minnesota,3275727,1716207,1483551,2020,0.5363552493657333,0.4636447506342667
Mississippi,1159362,452795,688745,2020,0.39665276731432975,0.6033472326856703
Missouri,3012436,1242851,1711848,2020,0.4206354014402144,0.5793645985597856
Montana,603636,244783,343598,2020,0.41602804985205166,0.5839719501479483
Nebraska,943049,370912,552071,2020,0.40186222281450473,0.5981377771854953
Nevada,1405376,703486,669890,2020,0.512231173400438,0.48776882659956194
New Hampshire,803810,424921,365654,2020,0.5374834772159505,0.4625165227840496
New Jersey,4182011,2388680,1730008,2020,0.5799613857616794,0.42003861423832056
New Mexico,921515,499782,401361,2020,0.5546089799288237,0.44539102007117626
New York,6656558,3698632,2850761,2020,0.5647289756470562,0.43527102435294385
North Carolina,5522501,2683787,2757112,2020,0.4932616834093042,0.5067383165906958
North Dakota,361819,114902,235595,2020,0.3278259157710337,0.6721740842289663
Ohio,5765836,2603681,3074418,2020,0.4585480105225358,0.5414519894774642
Oklahoma,1560699,503890,1020280,2020,0.3305996050309349,0.6694003949690651
Oregon,2361091,1333766,952501,2020,0.5833815560474783,0.41661844395252173
Pennsylvania,6860611,3419585,3352498,2020,0.5049532027295,0.4950467972705001
Rhode Island,516358,306192,199830,2020,0.605096221112916,0.39490377888708394
South Carolina,2513329,1091541,1385103,2020,0.44073391250417904,0.559266087495821
South Dakota,422609,150471,261043,2020,0.365652201383185,0.634347798616815
Tennessee,3045401,1139289,1849467,2020,0.3811917065160221,0.6188082934839779
Texas,11231799,5211406,5860096,2020,0.47070451687584935,0.5292954831241506
Utah,1408163,527607,818784,2020,0.39186759269781213,0.6081324073021879
Vermont,367428,242820,112704,2020,0.6829918655280656,0.3170081344719344
Virginia,4452022,2406841,1960187,2020,0.5511393561021363,0.44886064389786373
Washington,4060747,2356584,1572345,2020,0.5998031524621595,0.40019684753784046
West Virginia,793747,235657,544826,2020,0.3019373900520575,0.6980626099479424
Wisconsin,3297114,1630389,1609879,2020,0.5031648616719357,0.4968351383280642
Wyoming,276765,73491,193559,2020,0.27519565624414905,0.724804343755851
Alabama,1182850,659170,504070,1976,56.66672397785496,43.33327602214504
Alabama,1341929,636730,654192,1980,49.323661692960535,50.67633830703947
Alabama,1441713,551899,872849,1984,38.736604648681734,61.26339535131827
Alabama,1378476,549506,815576,1988,40.254431601911094,59.74556839808891
Alabama,1688060,690080,804283,1992,46.178873540097015,53.82112645990298
Alabama,1534349,662165,769044,1996,46.266128846311055,53.73387115368894
Alabama,1666272,692611,941173,2000,42.39305807866891,57.60694192133109
Alabama,1883415,693933,1176394,2004,37.10222864771775,62.89777135228225
Alabama,2099819,813479,1266546,2008,39.109097246427325,60.890902753572675
Alabama,2074338,795696,1255925,2012,38.78377146656229,61.216228533437715
Alabama,2123372,729547,1318255,2016,35.62585640603926,64.37414359396074
Alaska,123574,44058,71555,1976,38.108171226419174,61.891828773580826
Alaska,158445,41842,86112,1980,32.70081435515888,67.29918564484112
Alaska,207605,62007,138377,1984,30.944087352283617,69.05591264771638
Alaska,200116,72584,119251,1988,37.83668256574661,62.16331743425339
Alaska,258506,78294,102000,1992,43.42573796132983,56.57426203867018
Alaska,241620,80380,122746,1996,39.57149749416618,60.42850250583381
Alaska,285560,79004,167398,2000,32.06305143627081,67.93694856372919
Alaska,312598,111025,190889,2004,36.77371701875368,63.22628298124632
Alaska,326197,123594,193841,2008,38.9352150834029,61.064784916597105
Alaska,300495,122640,164676,2012,42.684709518439625,57.315290481560375
Alaska,318608,116454,163387,2016,41.61434528893193,58.38565471106807
Arizona,742719,295602,418642,1976,41.38669698310382,58.61330301689619
Arizona,873945,246843,529688,1980,31.78791316766491,68.21208683233509
Arizona,1025897,333854,681416,1984,32.883272429993994,67.116727570006
Arizona,1171873,454029,702541,1988,39.25650846900749,60.7434915309925
Arizona,1486975,543050,572086,1992,48.69809601698806,51.30190398301194
Arizona,1404405,653288,622073,1996,51.22377115185426,48.77622884814574
Arizona,1532016,685341,781652,2000,46.71740083286014,53.28259916713986
Arizona,2012585,893524,1104294,2004,44.72499496951174,55.275005030488266
Arizona,2293475,1034707,1230111,2008,45.68609928038368,54.31390071961633
Arizona,2299254,1025232,1233654,2012,45.38661977629681,54.61338022370319
Arizona,2573165,1161167,1252401,2016,48.10997659896054,51.89002340103946
Arkansas,767535,498604,267903,1976,65.04885147819915,34.951148521800846
Arkansas,837582,398041,403164,1980,49.68029405707653,50.31970594292348
Arkansas,884406,338646,534774,1984,38.77241189805592,61.227588101944086
Arkansas,827738,349237,466578,1988,42.8083572868849,57.19164271311511
Arkansas,950653,505823,337324,1992,59.992267066122515,40.007732933877485
Arkansas,884262,475171,325416,1996,59.35282486475548,40.64717513524451
Arkansas,921781,422768,472940,2000,47.19931048957919,52.80068951042081
Arkansas,1054945,469953,572898,2004,45.06425174833222,54.93574825166778
Arkansas,1086617,422310,638017,2008,39.82827938928274,60.17172061071726
Arkansas,1069468,394409,647744,2012,37.84559464877038,62.15440535122961
Arkansas,1130635,380494,684872,2016,35.714862310229535,64.28513768977047
California,7803770,3742284,3882244,1976,49.082172693181796,50.91782730681821
California,8582938,3082943,4522994,1980,40.53337544079053,59.46662455920947
California,9505041,3922519,5467009,1984,41.77546517780233,58.22453482219766
California,9887065,4702233,5054917,1988,48.19268946362411,51.80731053637588
California,11131721,5121325,3630574,1992,58.51672876937908,41.48327123062092
California,10019469,5119835,3828381,1996,57.21626523096894,42.78373476903106
California,10965822,5861203,4567429,2000,56.20298999907178,43.79701000092822
California,12421353,6745485,5509826,2004,55.041320452822454,44.958679547177546
California,13561900,8274473,5011781,2008,62.27844959158541,37.721550408414586
California,13038547,7854285,4839958,2012,61.872811163296625,38.12718883670338
California,14181595,8753788,4483810,2016,66.12822054272989,33.871779457270115
Colorado,1081440,460801,584278,1976,44.09245616838536,55.907543831614646
Colorado,1184450,368009,652264,1980,36.06965978713541,63.9303402128646
Colorado,1295380,454975,821817,1984,35.634230164349404,64.3657698356506
Colorado,1372394,621453,728177,1988,46.04617561850285,53.95382438149715
Colorado,1569180,629681,562850,1992,52.80206552282498,47.19793447717502
Colorado,1510702,671152,691848,1996,49.240792369772564,50.75920763022744
Colorado,1741368,738227,883748,2000,45.51408005672097,54.48591994327903
Colorado,2129630,1001732,1101255,2004,47.63377044175737,52.36622955824264
Colorado,2401361,1288576,1073589,2008,54.55063469317343,45.44936530682658
Colorado,2569516,1323101,1185243,2012,52.74798831420252,47.252011685797484
Colorado,2780220,1338870,1202484,2016,52.68333337268244,47.316666627317566
Connecticut,1386355,647895,719261,1976,47.38998329378652,52.61001670621348
Connecticut,1406285,541732,677210,1980,44.44280367728735,55.55719632271264
Connecticut,1466900,569597,890877,1984,39.000831236981966,60.999168763018034
Connecticut,1443394,676584,750241,1988,47.418849543567006,52.581150456432994
Connecticut,1616156,682318,578313,1992,54.12511670742668,45.87488329257332
Connecticut,1392614,735740,483109,1996,60.363506882312734,39.63649311768726
Connecticut,1459525,816015,561094,2000,59.25565804885452,40.74434195114548
Connecticut,1578769,857488,693826,2004,55.27494756058412,44.725052439415876
Connecticut,1646792,997772,629428,2008,61.31833824975418,38.68166175024582
Connecticut,1558204,905083,634892,2012,58.772577476907095,41.227422523092905
Connecticut,1644920,897572,673215,2016,57.14154751726363,42.85845248273636
Delaware,235642,122461,109780,1976,52.7301380893124,47.2698619106876
Delaware,235668,105754,111252,1980,48.73321474982259,51.26678525017741
Delaware,254572,101656,152190,1984,40.04632730080442,59.95367269919557
Delaware,249891,108647,139639,1988,43.75881040413072,56.24118959586928
Delaware,289620,126054,102313,1992,55.19799270472529,44.80200729527471
Delaware,270810,140355,99062,1996,58.623656632569954,41.376343367430046
Delaware,327529,180068,137288,2000,56.740064785288446,43.259935214711554
Delaware,375190,200152,171660,2004,53.83150624509161,46.1684937549084
Delaware,412412,255459,152374,2008,62.63813864988855,37.36186135011144
Delaware,413890,242584,165484,2012,59.44695491927816,40.55304508072184
Delaware,441590,235603,185127,2016,55.998621443681216,44.001378556318784
District of Columbia,168830,137818,27873,1976,83.17772238685264,16.822277613147367
District of Columbia,173889,130231,23313,1980,84.8167300578336,15.183269942166413
District of Columbia,211288,180408,29009,1984,86.14773394710076,13.852266052899239
District of Columbia,192877,159407,27590,1988,85.24575260565678,14.754247394343226
District of Columbia,227572,192619,20698,1992,90.29706961939273,9.702930380607265
District of Columbia,185726,158220,17339,1996,90.12354820886426,9.876451791135743
District of Columbia,201894,171923,18073,2000,90.48769447777848,9.51230552222152
District of Columbia,227586,202970,21256,2004,90.52027864743607,9.479721352563931
District of Columbia,265853,245800,17367,2008,93.40076833341567,6.599231666584336
District of Columbia,293764,267070,21381,2012,92.58764920211752,7.412350797882484
District of Columbia,312575,282830,12723,2016,95.69518834185409,4.304811658145916
Florida,3150631,1636000,1469531,1976,52.6802018720792,47.3197981279208
Florida,3686927,1419475,2046951,1980,40.94923705280309,59.05076294719691
Florida,4180051,1448816,2730350,1984,34.66758678645452,65.33241321354548
Florida,4302313,1656701,2618885,1988,38.747928354148414,61.25207164585159
Florida,5313392,2071698,2173310,1992,48.803158910419015,51.19684108958098
Florida,5303154,2546870,2244536,1996,53.15496119510641,46.8450388048936
Florida,5963110,2912253,2912790,2000,49.99539059196644,50.00460940803355
Florida,7609810,3583544,3964522,2004,47.47632042433121,52.523679575668794
Florida,8390744,4282074,4045624,2008,51.419660030899294,48.580339969100706
Florida,8474179,4237756,4163447,2012,50.442252139366225,49.55774786063377
Florida,9420039,4504975,4617886,2016,49.38116452722452,50.61883547277548
Georgia,1463152,979409,483743,1976,66.93829485931741,33.06170514068258
Georgia,1596805,890955,654168,1980,57.66239969245167,42.33760030754833
Georgia,1776103,706628,1068722,1984,39.802179851860195,60.197820148139805
Georgia,1809672,714792,1081331,1988,39.796383655239644,60.203616344760356
Georgia,2321133,1008966,995252,1992,50.342128451096634,49.657871548903366
Georgia,2298899,1053849,1080843,1996,49.36773080144583,50.63226919855417
Georgia,2583208,1116230,1419720,2000,44.01624637709734,55.983753622902654
Georgia,3301875,1366149,1914254,2004,41.64576730359044,58.35423269640956
Georgia,3924486,1844123,2048759,2008,47.37166448918821,52.62833551081179
Georgia,3897839,1773827,2078688,2012,46.04335090194328,53.95664909805672
Georgia,4114732,1877963,2089104,2016,47.338827400696786,52.66117259930322
Hawaii,291301,147375,140003,1976,51.28263123829938,48.71736876170062
Hawaii,303287,135879,130112,1980,51.0840592350869,48.915940764913096
Hawaii,335846,147154,185050,1984,44.296275782350605,55.703724217649395
Hawaii,354461,192364,158625,1988,54.80627598015892,45.19372401984108
Hawaii,372842,179310,136822,1992,56.719977730821306,43.280022269178694
Hawaii,360120,205012,113943,1996,64.27615180824881,35.72384819175119
Hawaii,367951,205286,137845,2000,59.827296280429344,40.172703719570656
Hawaii,429013,231708,194191,2004,54.40444800293027,45.59555199706973
Hawaii,456064,325871,120566,2008,72.99372587845542,27.00627412154459
Hawaii,437159,306658,121015,2012,71.70384850107442,28.296151498925582
Hawaii,437664,266891,128847,2016,67.44133745053546,32.55866254946454
Idaho,340932,126549,204151,1976,38.267009374055036,61.732990625944964
Idaho,437431,110192,290699,1980,27.48677321266878,72.51322678733122
Idaho,411144,108510,297523,1984,26.72442880258501,73.27557119741499
Idaho,408968,147272,253881,1988,36.71217714936695,63.28782285063305
Idaho,482114,137013,202645,1992,40.33851697884342,59.66148302115658
Idaho,491711,165443,256595,1996,39.20097242428407,60.79902757571594
Idaho,501615,138637,336937,2000,29.151509544255994,70.84849045574401
Idaho,598376,181098,409235,2004,30.6772618166357,69.32273818336431
Idaho,655122,236440,403012,2008,36.97541019497945,63.02458980502055
Idaho,652274,212787,420911,2012,33.578613156424666,66.42138684357533
Idaho,690255,189765,409055,2016,31.689823319194417,68.31017668080558
Illinois,4721282,2271295,2364269,1976,48.99716625636061,51.0028337436394
Illinois,4749721,1981413,2358049,1980,45.660337617889034,54.339662382110966
Illinois,4819088,2086499,2707103,1984,43.52674669277925,56.47325330722075
Illinois,4559120,2215940,2310939,1988,48.95072300364114,51.04927699635886
Illinois,5050157,2453350,1734096,1992,58.5882182122468,41.411781787753206
Illinois,4311391,2341744,1587021,1996,59.60509218545778,40.39490781454223
Illinois,4742108,2589026,2019421,2000,56.18001031583959,43.81998968416041
Illinois,5274322,2891550,2345946,2004,55.20863404955345,44.79136595044655
Illinois,5522371,3419348,2031179,2008,62.73426404455936,37.26573595544064
Illinois,5242014,3019512,2135216,2012,58.5775233921169,41.42247660788309
Illinois,5536424,3090729,2146015,2016,59.02005139071148,40.97994860928852
Indiana,2220362,1014714,1183958,1976,46.15122219230518,53.84877780769482
Indiana,2242033,844197,1255656,1980,40.20267132985023,59.79732867014976
Indiana,2233069,841481,1377230,1984,37.926570878316284,62.07342912168372
Indiana,2168621,860643,1297763,1988,39.87400887506799,60.12599112493201
Indiana,2305871,848420,989375,1992,46.16510546606123,53.83489453393877
Indiana,2135431,887424,1006693,1996,46.851593644954356,53.14840635504565
Indiana,2199302,901980,1245836,2000,41.995217467418065,58.004782532581935
Indiana,2468002,969011,1479438,2004,39.57652375034154,60.42347624965846
Indiana,2751054,1374039,1345648,2008,50.52195344537809,49.47804655462191
Indiana,2624534,1152887,1420543,2012,44.799625402672696,55.200374597327304
Indiana,2734958,1033126,1557286,2016,39.88269047549193,60.117309524508066
Iowa,1279303,619931,632864,1976,49.48383414684765,50.51616585315235
Iowa,1317661,508672,676026,1980,42.93684972879164,57.063150271208364
Iowa,1319805,605620,703088,1984,46.27617466997986,53.72382533002015
Iowa,1225614,670557,545355,1988,55.14848114008251,44.85151885991749
Iowa,1354607,586353,504891,1992,53.73252911356213,46.26747088643786
Iowa,1234075,620258,492644,1996,55.73338892373273,44.26661107626727
Iowa,1353022,638517,634373,2000,50.16277918751817,49.83722081248183
Iowa,1506908,741898,751957,2004,49.66332073728709,50.33667926271291
Iowa,1537123,828940,682379,2008,54.84877778946735,45.15122221053265
Iowa,1582180,822544,730617,2012,52.959351928100176,47.040648071899824
Iowa,1565580,653669,800983,2016,44.93645215487965,55.06354784512034
Kansas,957845,430421,502752,1976,46.12445923746186,53.87554076253813
Kansas,979795,326150,566812,1980,36.52451056147966,63.47548943852034
Kansas,1021991,333149,677296,1984,32.970522888430345,67.02947711156966
Kansas,993044,422636,554049,1988,43.27249829781352,56.72750170218648
Kansas,1157236,390434,449951,1992,46.45894441238242,53.54105558761758
Kansas,1074300,387659,583245,1996,39.92763445201585,60.07236554798414
Kansas,1072216,399276,622332,2000,39.083092536471916,60.916907463528084
Kansas,1187756,434993,736456,2004,37.132901218917766,62.867098781082234
Kansas,1235872,514765,699655,2008,42.38772418109056,57.61227581890944
Kansas,1159971,440726,692634,2012,38.886673254746945,61.11332674525305
Kansas,1184402,427005,671018,2016,38.888529657393335,61.111470342606665
Kentucky,1167142,615717,531852,1976,53.65402864664347,46.34597135335653
Kentucky,1295627,617417,635274,1980,49.28725439873041,50.71274560126958
Kentucky,1369345,539539,821702,1984,39.635817610548024,60.36418238945198
Kentucky,1322517,580368,734281,1988,44.14623218821146,55.85376781178854
Kentucky,1492900,665104,617178,1992,51.86877769476605,48.13122230523395
Kentucky,1388708,636614,623283,1996,50.52905118434284,49.47094881565715
Kentucky,1544106,638923,872520,2000,42.272384734323424,57.727615265676576
Kentucky,1795882,712733,1069439,2004,39.992380084526076,60.00761991547393
Kentucky,1826620,751985,1048462,2008,41.76657241229539,58.23342758770461
Kentucky,1797212,679370,1087190,2012,38.45722760619509,61.54277239380491
Kentucky,1924149,628854,1202971,2016,34.32937098249014,65.67062901750987
Louisiana,1277383,661365,587446,1976,52.95957514788066,47.04042485211934
Louisiana,1548591,708453,792853,1980,47.18911401140074,52.81088598859925
Louisiana,1706822,651586,1037299,1984,38.58083883745785,61.419161162542146
Louisiana,1628202,717460,883702,1988,44.80870767605027,55.19129232394974
Louisiana,1790017,815971,733386,1992,52.66513786041565,47.33486213958435
Louisiana,1783959,927837,712586,1996,56.56083827159214,43.43916172840785
Louisiana,1765656,792344,927871,2000,46.06075403365277,53.93924596634723
Louisiana,1943106,820299,1102169,2004,42.66905873075651,57.330941269243496
Louisiana,1960761,782989,1148275,2008,40.542825838414636,59.45717416158537
Louisiana,1994065,809141,1152262,2012,41.25317438588602,58.74682561411397
Louisiana,2029032,780154,1178638,2016,39.82832276219221,60.1716772378078
Maine,482968,232279,236320,1976,49.568821102904614,50.431178897095386
Maine,523011,220974,238522,1980,48.090516565976635,51.909483434023365
Maine,553144,214515,336500,1984,38.93088209939838,61.06911790060162
Maine,555035,243569,307131,1988,44.228981296531686,55.771018703468314
Maine,679499,263420,206504,1992,56.055872864548306,43.94412713545169
Maine,605897,312788,186378,1996,62.662120416855316,37.337879583144684
Maine,651817,319951,286616,2000,52.74784154100042,47.25215845899958
Maine,740752,396842,330201,2004,54.5830164103086,45.4169835896914
Maine,731163,421923,295273,2008,58.8295249834076,41.1704750165924
Maine,724758,401306,292276,2012,57.85992139357711,42.14007860642289
Maine,771892,357735,335593,2016,51.59679112916253,48.40320887083747
Maryland,1432273,759612,672661,1976,53.035419923436386,46.964580076563614
Maryland,1540496,726161,680606,1980,51.6191380662185,48.380861933781496
Maryland,1675873,787935,879918,1984,47.24247280785537,52.75752719214463
Maryland,1714358,826304,876167,1988,48.53556976888299,51.46443023111701
Maryland,1984580,988571,707094,1992,58.299900039217654,41.70009996078235
Maryland,1780870,966207,681530,1996,58.63842348627239,41.36157651372761
Maryland,2025212,1144008,813827,2000,58.432298942454295,41.56770105754571
Maryland,2384238,1334493,1024703,2004,56.565584207501196,43.4344157924988
Maryland,2631596,1629467,959862,2008,62.93008729288553,37.06991270711447
Maryland,2707327,1677844,971869,2012,63.32172578690598,36.67827421309402
Maryland,2781446,1677928,943169,2016,64.01624968476939,35.98375031523061
Massachusetts,2547558,1429475,1030276,1976,58.114622171105935,41.88537782889406
Massachusetts,2524090,1053802,1057631,1980,49.90932698314368,50.09067301685632
Massachusetts,2559383,1239606,1310936,1984,48.60166976274062,51.39833023725937
Massachusetts,2632801,1401415,1194635,1988,53.98258893318696,46.01741106681304
Massachusetts,2773664,1318639,805039,1992,62.09222867120157,37.90777132879843
Massachusetts,2556459,1571509,718058,1996,68.63782540541509,31.362174594584914
Massachusetts,2733964,1616487,878502,2000,64.78934376063381,35.21065623936618
Massachusetts,2927455,1803800,1071109,2004,62.74285551299189,37.25714448700811
Massachusetts,3102995,1904097,1108854,2008,63.19707821335295,36.80292178664705
Massachusetts,3184196,1921290,1188314,2012,61.78568074906001,38.214319250939994
Massachusetts,3378821,1995196,1090893,2016,64.65127868962949,35.34872131037051
Michigan,3651590,1696714,1893742,1976,47.25622595013001,52.743774049869984
Michigan,3909725,1661532,1915225,1980,46.45358910320159,53.54641089679841
Michigan,3801658,1529638,2251571,1984,40.45367500183142,59.54632499816858
Michigan,3669163,1675783,1965486,1988,46.02195003994486,53.97804996005513
Michigan,4274673,1871182,1554940,1992,54.61515964697112,45.38484035302888
Michigan,3848844,1989653,1481212,1996,57.32441336669677,42.675586633303226
Michigan,4232501,2170418,1953139,2000,52.63460648173409,47.365393518265904
Michigan,4839252,2479183,2313746,2004,51.72584446796521,48.2741555320348
Michigan,5001596,2872579,2048639,2008,58.37130157615452,41.62869842384548
Michigan,4730961,2564569,2115256,2012,54.80053207117788,45.19946792882212
Michigan,4799284,2268839,2279543,2016,49.88233178303845,50.117668216961555
Minnesota,1949931,1070440,819395,1976,56.6419819719711,43.3580180280289
Minnesota,2051916,954173,873268,1980,52.213614557186794,47.7863854428132
Minnesota,2084449,1036364,1032603,1984,50.09089076819495,49.90910923180505
Minnesota,2096790,1109471,962337,1988,53.55085992524404,46.44914007475596
Minnesota,2347948,1020997,747841,1992,57.72134022448636,42.278659775513646
Minnesota,2192492,1120380,766395,1996,59.380689271375765,40.61931072862424
Minnesota,2438685,1168266,1109659,2000,51.28641197581132,48.71358802418868
Minnesota,2828387,1445014,1346695,2004,51.76091061066895,48.23908938933105
Minnesota,2910369,1573354,1275409,2008,55.22937499539273,44.77062500460726
Minnesota,2936561,1546167,1320225,2012,53.941226461698186,46.058773538301814
Minnesota,2944782,1367705,1322949,2016,50.83169370718048,49.168306292819516
Mississippi,768390,381329,366846,1976,50.9678885287533,49.0321114712467
Mississippi,891750,429281,441089,1980,49.321667796454385,50.678332203545615
Mississippi,941104,352192,582377,1984,37.68496494105839,62.315035058941604
