state,electors,trump,biden
Alabama,9,62.1,36.5
Alaska,3,56.9,39.1
Arizona,11,49.06,49.41
Arkansas,6,62.6,34.6
California,55,33.7,64.2
Colorado,9,41.9,55.4
Connecticut,7,39.2,59.2
Delaware,3,39.8,58.8
District of Columbia,3,5.3,92.4
Florida,29,51.2,47.8
Georgia,16,49.23,49.51
Hawaii,4,34.3,63.7
Idaho,4,63.8,33.1
Illinois,20,41.3,56.7
Indiana,11,57,40.9
Iowa,6,53.1,44.9
Kansas,6,56.5,41.3
Kentucky,8,62.1,36.2
Louisiana,8,58.5,39.9
Maine,4,43.5,53.5
Maryland,10,33.5,64.6
Massachusetts,11,32.5,65.2
Michigan,16,47.9,50.5
Minnesota,10,45.4,52.5
Mississippi,6,59.4,39.1
Missouri,10,56.9,41.3
Montana,3,56.7,40.4
Nebraska,5,58.5,39.2
Nevada,6,47.5,50.2
New Hampshire,4,45.5,52.8
New Jersey,14,41.1,57.4
New Mexico,5,43.6,54.2
New York,29,42.9,55.7
North Carolina,15,50,48.7
North Dakota,3,65.1,31.8
Ohio,18,53.3,45.2
Oklahoma,7,65.4,32.3
Oregon,7,40.3,56.5
Pennsylvania,20,48.97,49.76
Rhode Island,4,38.9,59.6
South Carolina,9,55.1,43.4
South Dakota,3,61.8,35.6
Tennessee,11,60.7,37.4
Texas,38,52.1,46.4
Utah,6,58.1,37.8
Vermont,3,30.6,66
Virginia,13,44.2,54.3
Washington,12,38.9,58.5
West Virginia,5,68.7,29.6
Wisconsin,10,48.83,49.46
Wyoming,3,69.9,26.6