year,state,VEP,VAP,turnout,turnout_pct
2014,United States,227157964,245712915,81687059,36.0%
2014,Alabama,3588783,3751844,1180413,32.9%
2014,Alaska,520562,553473,282382,54.2%
2014,Arizona,4510186,5110890,1506416,33.4%
2014,Arkansas,2117881,2263040,848592,40.1%
2014,California,24440416,29646675,7317581,29.9%
2014,Colorado,3800664,4128890,2041020,53.7%
2014,Connecticut,2577311,2828791,1089880,42.3%
2014,Delaware,681526,735156,234038,34.3%
2014,District of Columbia,495899,547228,175071,35.3%
2014,Florida,13914216,15816663,5951561,42.8%
2014,Georgia,6725041,7601982,2567761,38.2%
2014,Hawaii,1012123,1113693,366125,36.2%
2014,Idaho,1119882,1205611,439830,39.3%
2014,Illinois,9028752,9922399,3627690,40.2%
2014,Indiana,4829510,5033872,1341814,27.8%
2014,Iowa,2269179,2386733,1129700,49.8%
2014,Kansas,2048164,2184712,869502,42.5%
2014,Kentucky,3247300,3406506,1435868,44.2%
2014,Louisiana,3349433,3545845,1472039,43.9%
2014,Maine,1051557,1071521,611255,58.1%
2014,Maryland,4154546,4645171,1733177,41.7%
2014,Massachusetts,4896296,5369534,2158326,44.1%
2014,Michigan,7383958,7700110,3156531,42.7%
2014,Minnesota,3935121,4194166,1981511,50.4%
2014,Mississippi,2181131,2267463,631858,29.0%
2014,Missouri,4493722,4682458,1426303,31.7%
2014,Montana,787748,802644,369826,46.9%
2014,Nebraska,1334453,1419489,539891,40.5%
2014,Nevada,1867644,2173640,547349,29.3%
2014,New Hampshire,1025862,1061054,488159,47.6%
2014,New Jersey,6014127,6936661,1869535,31.1%
2014,New Mexico,1449503,1586442,512805,35.4%
2014,New York,13553426,15544111,3819010,28.2%
2014,North Carolina,7143737,7693406,2915281,40.8%
2014,North Dakota,567221,582205,248670,43.8%
2014,Ohio,8701243,8969074,3055913,35.1%
2014,Oklahoma,2755091,2940437,824831,29.9%
2014,Oregon,2887517,3115883,1469717,50.9%
2014,Pennsylvania,9689491,10100271,3495866,36.1%
2014,Rhode Island,776286,842605,324055,41.7%
2014,South Carolina,3584461,3760480,1246301,34.8%
2014,South Dakota,630989,647810,279412,44.3%
2014,Tennessee,4799476,5060636,1374065,28.6%
2014,Texas,16675420,19847831,4727208,28.3%
2014,Utah,1905801,2054936,565970,29.7%
2014,Vermont,495884,507304,193087,38.9%
2014,Virginia,5962456,6489957,2184473,36.6%
2014,Washington,4928407,5467270,2029189,41.2%
2014,West Virginia,1447652,1472594,451498,31.2%
2014,Wisconsin,4260427,4470265,2410314,56.6%
2014,Wyoming,431434,451484,168390,39.0%
2012,United States,222474111,240957993,129070906,58.0%
2012,Alabama,3539217,3707440,2074338,58.6%
2012,Alaska,511792,543763,300495,58.7%
2012,Arizona,4387900,4959270,2306559,52.6%
2012,Arkansas,2109847,2242740,1069468,50.7%
2012,California,23681837,28913129,13038547,55.1%
2012,Colorado,3675871,3981208,2569522,69.9%
2012,Connecticut,2543202,2801375,1558960,61.3%
2012,Delaware,663967,715708,413921,62.3%
2012,District of Columbia,477582,528848,293764,61.5%
2012,Florida,13495057,15380947,8474179,62.8%
2012,Georgia,6606607,7452696,3900050,59.0%
2012,Hawaii,982902,1088335,434697,44.2%
2012,Idaho,1091410,1173727,652274,59.8%
2012,Illinois,8899143,9827043,5242014,58.9%
2012,Indiana,4755291,4960376,2624534,55.2%
2012,Iowa,2251748,2356209,1582180,70.3%
2012,Kansas,2030686,2162442,1156254,56.9%
2012,Kentucky,3229185,3368684,1797212,55.7%
2012,Louisiana,3311626,3495847,1994065,60.2%
2012,Maine,1046008,1064779,713180,68.2%
2012,Maryland,4063582,4553853,2707327,66.6%
2012,Massachusetts,4809675,5263550,3167767,65.9%
2012,Michigan,7312725,7625576,4730961,64.7%
2012,Minnesota,3861598,4114820,2936561,76.0%
2012,Mississippi,2166825,2246931,1285584,59.3%
2012,Missouri,4432957,4628500,2757323,62.2%
2012,Montana,774476,785454,484048,62.5%
2012,Nebraska,1316915,1396507,794379,60.3%
2012,Nevada,1800969,2105976,1014918,56.4%
2012,New Hampshire,1013420,1047978,710972,70.2%
2012,New Jersey,5918182,6847503,3640292,61.5%
2012,New Mexico,1436363,1573400,783757,54.6%
2012,New York,13324107,15344671,7074723,53.1%
2012,North Carolina,6947954,7496980,4505372,64.8%
2012,North Dakota,539164,549955,322627,59.8%
2012,Ohio,8649495,8896930,5580822,64.5%
2012,Oklahoma,2713268,2885093,1334872,49.2%
2012,Oregon,2836101,3050747,1789270,63.1%
2012,Pennsylvania,9651432,10037099,5742040,59.5%
2012,Rhode Island,768918,834983,446049,58.0%
2012,South Carolina,3486838,3662322,1964118,56.3%
2012,South Dakota,613190,631472,363815,59.3%
2012,Tennessee,4736084,4976284,2458577,51.9%
2012,Texas,16119973,19185395,7993851,49.6%
2012,Utah,1833339,1978956,1017440,55.5%
2012,Vermont,493355,502242,299290,60.7%
2012,Virginia,5834676,6348827,3854489,66.1%
2012,Washington,4822060,5329782,3125516,64.8%
2012,West Virginia,1447066,1472642,670438,46.3%
2012,Wisconsin,4209370,4417273,3068434,72.9%
2012,Wyoming,425142,441726,249061,58.6%
2010,United States,217551109,236022989,89099476,41.0%
2010,Alabama,3472582,3661784,1494273,43.0%
2010,Alaska,493764,528744,256192,51.9%
2010,Arizona,4209544,4807398,1727791,41.0%
2010,Arkansas,2081156,2216171,781333,37.5%
2010,California,22946053,28167234,10095485,44.0%
2010,Colorado,3533054,3843619,1787730,50.6%
2010,Connecticut,2512981,2765843,1153115,45.9%
2010,Delaware,646969,696940,307402,47.5%
2010,District of Columbia,458619,506765,132656,28.9%
2010,Florida,12961184,14916066,5411106,41.7%
2010,Georgia,6464845,7255919,2576161,39.8%
2010,Hawaii,959531,1062593,382563,39.9%
2010,Idaho,1069446,1147210,452535,42.3%
2010,Illinois,8798829,9735944,3729989,42.4%
2010,Indiana,4697111,4896656,1744481,37.1%
2010,Iowa,2234516,2328262,1116063,49.9%
2010,Kansas,2011497,2137815,838790,41.7%
2010,Kentucky,3198093,3332204,1356468,42.4%
2010,Louisiana,3249524,3438247,1264994,38.9%
2010,Maine,1038201,1055605,572766,55.2%
2010,Maryland,4001034,4449617,1857880,46.4%
2010,Massachusetts,4693670,5152976,2297039,48.9%
2010,Michigan,7245281,7555742,3226088,44.5%
2010,Minnesota,3802677,4041199,2107021,55.4%
2010,Mississippi,2129334,2220094,788549,37.0%
2010,Missouri,4366435,4581260,1943899,44.5%
2010,Montana,758653,770601,360341,47.5%
2010,Nebraska,1301483,1375023,487988,37.5%
2010,Nevada,1747288,2046400,721404,41.3%
2010,New Hampshire,999918,1033023,456588,45.7%
2010,New Jersey,5834037,6750869,2121584,36.4%
2010,New Mexico,1408872,1552212,602827,42.8%
2010,New York,13135048,15111583,4658586,35.5%
2010,North Carolina,6785463,7310093,2660079,39.2%
2010,North Dakota,516974,527497,238812,46.2%
2010,Ohio,8571952,8826908,3852453,44.9%
2010,Oklahoma,2666767,2839030,1034767,38.8%
2010,Oregon,2760607,2984806,1453548,52.7%
2010,Pennsylvania,9565822,9946290,3987551,41.7%
2010,Rhode Island,763534,829913,342290,44.8%
2010,South Carolina,3388417,3571250,1344198,39.7%
2010,South Dakota,599507,616113,317083,52.9%
2010,Tennessee,4622919,4878724,1601549,34.6%
2010,Texas,15514007,18487369,4979870,32.1%
2010,Utah,1772934,1914974,643307,36.3%
2010,Vermont,488942,498254,241605,49.4%
2010,Virginia,5660589,6194717,2189841,38.7%
2010,Washington,4724350,5190736,2511094,53.2%
2010,West Virginia,1442003,1468812,529948,36.8%
2010,Wisconsin,4172130,4365214,2171331,52.0%
2010,Wyoming,414536,430673,188463,45.5%
2008,United States,213313508,230872030,131304731,61.6%
2008,Alabama,3454510,3595708,2099819,60.8%
2008,Alaska,479429,507645,326197,68.0%
2008,Arizona,4046075,4673718,2293475,56.7%
2008,Arkansas,2071563,2174846,1086617,52.5%
2008,California,22261504,27411094,13561900,60.9%
2008,Colorado,3382959,3708955,2401361,71.0%
2008,Connecticut,2471082,2725917,1646792,66.6%
2008,Delaware,628200,680493,412398,65.6%
2008,District of Columbia,432566,481971,265853,61.5%
2008,Florida,12687407,14558436,8390744,66.1%
2008,Georgia,6281872,7063638,3924440,62.5%
2008,Hawaii,930067,1036088,453568,48.8%
2008,Idaho,1029416,1117842,655032,63.6%
2008,Illinois,8681138,9615700,5523051,63.6%
2008,Indiana,4653019,4826231,2751054,59.1%
2008,Iowa,2216094,2298515,1537123,69.4%
2008,Kansas,1991759,2100084,1235872,62.0%
2008,Kentucky,3152629,3277617,1826508,57.9%
2008,Louisiana,3205794,3342279,1960761,61.2%
2008,Maine,1036242,1049816,731163,70.6%
2008,Maryland,3925117,4342850,2631596,67.0%
2008,Massachusetts,4612550,5058035,3080985,66.8%
2008,Michigan,7229512,7528460,5001766,69.2%
2008,Minnesota,3740142,3975974,2910369,77.8%
2008,Mississippi,2113347,2190402,1289856,61.0%
2008,Missouri,4327572,4507688,2925205,67.6%
2008,Montana,741853,755384,491960,66.3%
2008,Nebraska,1274719,1348048,801281,62.9%
2008,Nevada,1696831,2000277,967848,57.0%
2008,New Hampshire,992226,1021787,710970,71.7%
2008,New Jersey,5776527,6651284,3868237,67.0%
2008,New Mexico,1362629,1505830,830158,60.9%
2008,New York,12948969,14876971,7640640,59.0%
2008,North Carolina,6584302,7096503,4310789,65.5%
2008,North Dakota,504762,512768,316621,62.7%
2008,Ohio,8513079,8757453,5698260,66.9%
2008,Oklahoma,2619121,2770219,1462661,55.8%
2008,Oregon,2700327,2916246,1827864,67.7%
2008,Pennsylvania,9457942,9813664,6012692,63.6%
2008,Rhode Island,763608,825786,471766,61.8%
2008,South Carolina,3311044,3473488,1920969,58.0%
2008,South Dakota,590720,602539,381975,64.7%
2008,Tennessee,4563192,4771926,2599749,57.0%
2008,Texas,14929810,17756112,8077795,54.1%
2008,Utah,1700286,1840087,952370,56.0%
2008,Vermont,482677,492610,325046,67.3%
2008,Virginia,5555415,6022123,3723260,67.0%
2008,Washington,4561163,5032960,3036878,66.6%
2008,West Virginia,1430439,1453045,713362,49.9%
2008,Wisconsin,4120694,4306876,2983417,72.4%
2008,Wyoming,405732,418040,254658,62.8%
2006,United States,207643594,225485399,83815592,40.4%
2006,Alabama,3338467,3513952,1250401,37.5%
2006,Alaska,465169,492452,237322,51.0%
2006,Arizona,3923786,4490327,1526782,38.9%
2006,Arkansas,2004193,2130080,774680,38.7%
2006,California,21582217,26739781,8679416,40.2%
2006,Colorado,3297308,3569901,1558405,47.3%
2006,Connecticut,2437559,2683538,1134780,46.6%
2006,Delaware,601341,659410,254099,42.3%
2006,District of Columbia,426612,466827,120620,28.3%
2006,Florida,12187858,14211669,4829270,39.6%
2006,Georgia,6115331,6799654,2122258,34.7%
2006,Hawaii,908925,1012975,344315,37.9%
2006,Idaho,993010,1072895,450832,45.4%
2006,Illinois,8667453,9483856,3486671,40.2%
2006,Indiana,4559294,4743856,1666922,36.6%
2006,Iowa,2178322,2267991,1048033,48.1%
2006,Kansas,1948850,2062668,849700,43.6%
2006,Kentucky,3100828,3218000,1253526,40.4%
2006,Louisiana,3043573,3239317,902498,29.7%
2006,Maine,1016287,1037200,550865,54.2%
2006,Maryland,3833349,4261205,1788316,46.7%
2006,Massachusetts,4552794,4970780,2219779,48.8%
2006,Michigan,7292624,7532918,3801256,52.1%
2006,Minnesota,3667707,3896561,2202987,60.1%
2006,Mississippi,2077420,2154112,610921,29.4%
2006,Missouri,4253541,4427266,2128459,50.0%
2006,Montana,720447,734669,406505,56.4%
2006,Nebraska,1251027,1325932,596087,47.6%
2006,Nevada,1579222,1907976,582572,36.9%
2006,New Hampshire,975281,1006234,403531,41.4%
2006,New Jersey,5701033,6565183,2250070,39.5%
2006,New Mexico,1320285,1464560,561084,42.5%
2006,New York,12878632,14665626,4490053,34.9%
2006,North Carolina,6264630,6799585,1940808,31.0%
2006,North Dakota,486142,503647,218152,44.9%
2006,Ohio,8461211,8687609,4022754,47.5%
2006,Oklahoma,2547224,2709819,926462,36.4%
2006,Oregon,2628937,2829482,1379475,52.5%
2006,Pennsylvania,9283762,9680466,4096077,44.1%
2006,Rhode Island,754219,824887,384993,51.0%
2006,South Carolina,3152046,3332190,1091952,34.6%
2006,South Dakota,580592,589178,335508,57.8%
2006,Tennessee,4433921,4641909,1833695,41.4%
2006,Texas,14255313,17029802,4399068,30.9%
2006,Utah,1664323,1752158,571252,34.3%
2006,Vermont,478247,487141,262726,54.9%
2006,Virginia,5385522,5867219,2370445,44.0%
2006,Washington,4403981,4861001,2083734,47.3%
2006,West Virginia,1401490,1439052,459884,32.8%
2006,Wisconsin,4064432,4240696,2161700,53.2%
2006,Wyoming,379127,400187,193892,51.1%
2004,United States,203483455,220336019,122294978,60.1%
2004,Alabama,3292608,3427542,1883415,57.2%
2004,Alaska,452124,476378,312598,69.1%
2004,Arizona,3717055,4215706,2012585,54.1%
2004,Arkansas,1969208,2072986,1054945,53.6%
2004,California,21132533,26246548,12421852,58.8%
2004,Colorado,3192647,3443164,2129630,66.7%
2004,Connecticut,2429634,2652587,1578769,65.0%
2004,Delaware,584817,635370,375190,64.2%
2004,District of Columbia,419142,458758,227586,54.3%
2004,Florida,11811921,13643828,7609810,64.4%
2004,Georgia,5878186,6499325,3301875,56.2%
2004,Hawaii,889540,982882,429013,48.2%
2004,Idaho,946160,1016255,598376,63.2%
2004,Illinois,8576696,9391420,5274322,61.5%
2004,Indiana,4504260,4660157,2468002,54.8%
2004,Iowa,2156389,2239979,1506908,69.9%
2004,Kansas,1928764,2032763,1187756,61.6%
2004,Kentucky,3057741,3157464,1795860,58.7%
2004,Louisiana,3182762,3379937,1943106,61.1%
2004,Maine,1003792,1022043,740752,73.8%
2004,Maryland,3797264,4179376,2386705,62.9%
2004,Massachusetts,4533859,4935787,2912388,64.2%
2004,Michigan,7263024,7508568,4839252,66.6%
2004,Minnesota,3609185,3819020,2828387,78.4%
2004,Mississippi,2068766,2133681,1152365,55.7%
2004,Missouri,4180960,4339414,2731364,65.3%
2004,Montana,699114,711858,450445,64.4%
2004,Nebraska,1236522,1305430,778186,62.9%
2004,Nevada,1501437,1776962,829587,55.3%
2004,New Hampshire,956422,984422,677738,70.9%
2004,New Jersey,5663201,6513394,3611691,63.8%
2004,New Mexico,1282767,1411419,756304,59.0%
2004,New York,12738056,14598898,7391249,58.0%
2004,North Carolina,6055771,6505150,3501007,57.8%
2004,North Dakota,482722,496479,312833,64.8%
2004,Ohio,8427696,8624277,5627908,66.8%
2004,Oklahoma,2510823,2649994,1463758,58.3%
2004,Oregon,2550887,2736472,1836782,72.0%
2004,Pennsylvania,9221962,9554349,5769590,62.6%
2004,Rhode Island,747046,827513,437134,58.5%
2004,South Carolina,3055098,3198733,1617730,53.0%
2004,South Dakota,569161,576472,388215,68.2%
2004,Tennessee,4328446,4496929,2437319,56.3%
2004,Texas,13796256,16284659,7410765,53.7%
2004,Utah,1574463,1664066,927844,58.9%
2004,Vermont,470754,480053,312309,66.3%
2004,Virginia,5277156,5699175,3198367,60.6%
2004,Washington,4272914,4683829,2859084,66.9%
2004,West Virginia,1396545,1425689,755887,54.1%
2004,Wisconsin,4006948,4172068,2997007,74.8%
2004,Wyoming,370785,386796,243428,65.7%
2002,United States,198381939,215461549,78381943,39.5%
2002,Alabama,3285643,3371451,1364602,41.5%
2002,Alaska,427337,457154,231484,54.2%
2002,Arizona,3419481,3998148,1226111,35.9%
2002,Arkansas,1951568,2031787,805696,41.3%
2002,California,20733192,25622609,7476351,36.1%
2002,Colorado,3056465,3362098,1416093,46.3%
2002,Connecticut,2418037,2617814,1022942,42.3%
2002,Delaware,564938,612919,232314,41.1%
2002,District of Columbia,412062,458631,124228,30.1%
2002,Florida,11194391,13005435,5100581,45.6%
2002,Georgia,5731983,6287215,2031604,35.4%
2002,Hawaii,872992,950520,382110,43.8%
2002,Idaho,921256,970916,411477,44.7%
2002,Illinois,8540965,9302571,3538883,41.4%
2002,Indiana,4494191,4587747,1521353,33.9%
2002,Iowa,2136683,2214936,1023075,47.9%
2002,Kansas,1897261,2007407,835692,44.0%
2002,Kentucky,3044267,3100972,1131313,37.2%
2002,Louisiana,3163663,3312330,1246333,39.4%
2002,Maine,995056,1001796,505190,50.8%
2002,Maryland,3678346,4082694,1704560,46.3%
2002,Massachusetts,4458820,4919958,2194189,49.2%
2002,Michigan,7147888,7445335,3177565,44.5%
2002,Minnesota,3518184,3745577,2254639,64.1%
2002,Mississippi,2047426,2099698,615609,30.1%
2002,Missouri,4116889,4262146,1877620,45.6%
2002,Montana,684572,690652,331321,48.4%
2002,Nebraska,1204512,1285024,480991,39.9%
2002,Nevada,1391100,1640679,504079,36.2%
2002,New Hampshire,930362,960401,447135,48.1%
2002,New Jersey,5549726,6448445,2112604,38.1%
2002,New Mexico,1255086,1360130,484229,38.6%
2002,New York,12679865,14504792,4579078,36.1%
2002,North Carolina,5876705,6314679,2331181,39.7%
2002,North Dakota,476251,486797,231030,48.5%
2002,Ohio,8322521,8556557,3228992,38.8%
2002,Oklahoma,2513143,2610016,1035620,41.2%
2002,Oregon,2495739,2674581,1267221,50.8%
2002,Pennsylvania,9143001,9454338,3545431,38.8%
2002,Rhode Island,741776,819310,331834,44.7%
2002,South Carolina,2982810,3100548,1102010,36.9%
2002,South Dakota,556154,564305,337497,60.7%
2002,Tennessee,4151834,4393757,1644741,39.6%
2002,Texas,13181016,15718593,4514012,34.2%
2002,Utah,1504529,1601707,557153,37.0%
2002,Vermont,471403,472402,230161,48.8%
2002,Virginia,5138270,5536511,1489422,29.0%
2002,Washington,4162032,4553733,1739116,41.8%
2002,West Virginia,1398124,1413580,436183,31.2%
2002,Wisconsin,3908088,4094028,1775349,45.4%
2002,Wyoming,370488,376121,185459,50.1%
2000,United States,194331436,210623408,105375486,54.2%
2000,Alabama,3241682,3334576,1672551,51.6%
2000,Alaska,419111,440296,285560,68.1%
2000,Arizona,3357701,3816498,1532016,45.6%
2000,Arkansas,1925961,2001774,921781,47.9%
2000,California,19685258,24867252,10965849,55.7%
2000,Colorado,3026316,3246521,1741368,57.5%
2000,Connecticut,2357687,2575243,1459525,61.9%
2000,Delaware,554863,594256,327529,59.0%
2000,District of Columbia,416696,458301,201355,48.3%
2000,Florida,10667193,12475387,5963110,55.9%
2000,Georgia,5639668,6087332,2583208,45.8%
2000,Hawaii,832642,923737,367951,44.2%
2000,Idaho,877406,935443,501615,57.2%
2000,Illinois,8432600,9208908,4742123,56.2%
2000,Indiana,4424909,4527523,2182295,49.3%
2000,Iowa,2082950,2199529,1315563,63.2%
2000,Kansas,1927950,1983933,1072216,55.6%
2000,Kentucky,2955628,3059582,1544107,52.2%
2000,Louisiana,3130267,3260060,1765656,56.4%
2000,Maine,969292,979314,651817,67.2%
2000,Maryland,3649631,3972224,2025480,55.5%
2000,Massachusetts,4517052,4870470,2704984,59.9%
2000,Michigan,7070702,7370524,4232501,59.9%
2000,Minnesota,3506432,3662005,2438657,69.5%
2000,Mississippi,2024650,2076861,994184,49.1%
2000,Missouri,4052255,4190073,2359892,58.2%
2000,Montana,667525,676065,410986,61.6%
2000,Nebraska,1224178,1266496,696983,56.9%
2000,Nevada,1346116,1523209,608970,45.2%
2000,New Hampshire,890622,934176,569081,63.9%
2000,New Jersey,5601788,6356954,3187226,56.9%
2000,New Mexico,1234088,1318129,598605,48.5%
2000,New York,12380208,14344348,6821999,55.1%
2000,North Carolina,5744241,6143214,2911262,50.7%
2000,North Dakota,477968,482078,288256,60.3%
2000,Ohio,8295592,8487355,4705457,56.7%
2000,Oklahoma,2475220,2568304,1234229,49.9%
2000,Oregon,2364402,2595354,1533968,64.9%
2000,Pennsylvania,9086897,9375146,4912185,54.1%
2000,Rhode Island,753877,804417,408783,54.2%
2000,South Carolina,2944326,3025380,1382717,47.0%
2000,South Dakota,548498,554875,316269,57.7%
2000,Tennessee,4162996,4316391,2076181,49.9%
2000,Texas,13033081,15138468,6407037,49.2%
2000,Utah,1431668,1534950,770754,53.8%
2000,Vermont,459174,463503,294308,64.1%
2000,Virginia,5069265,5389008,2739447,54.0%
2000,Washington,4098044,4419907,2487433,60.7%
2000,West Virginia,1390365,1405021,648124,46.6%
2000,Wisconsin,3842044,4016401,2598607,67.6%
2000,Wyoming,361078,366639,213726,59.2%
1998,United States,190419570,205313182,72537000,38.1%
1998,Alabama,3202052,3293917,1317842,41.2%
1998,Alaska,408758,429317,223300,54.6%
1998,Arizona,3232815,3628841,1017616,31.5%
1998,Arkansas,1882181,1951741,706011,37.5%
1998,California,19264556,23980067,8381871,43.5%
1998,Colorado,2879973,3085075,1327235,46.1%
1998,Connecticut,2340956,2544417,999537,42.7%
1998,Delaware,540896,576849,180527,33.4%
1998,District of Columbia,398318,452668,135501,34.0%
1998,Florida,10590870,12001902,3965751,37.4%
1998,Georgia,5326337,5828114,1792880,33.7%
1998,Hawaii,832172,910645,407556,49.0%
1998,Idaho,843914,896422,381248,45.2%
1998,Illinois,8285614,9070725,3394521,41.0%
1998,Indiana,4348730,4457578,1588617,36.5%
1998,Iowa,2112132,2176940,956415,45.3%
1998,Kansas,1873438,1955236,727236,38.8%
1998,Kentucky,2930780,2999287,1145414,39.1%
1998,Louisiana,3097660,3216121,969165,31.3%
1998,Maine,943577,957916,486808,51.6%
1998,Maryland,3571087,3879108,1535978,43.0%
1998,Massachusetts,4430939,4793966,1903336,43.0%
1998,Michigan,7005306,7276123,3036886,43.4%
1998,Minnesota,3378089,3555108,2091766,61.9%
1998,Mississippi,1995283,2038324,550694,27.6%
1998,Missouri,3978146,4106478,1576857,39.6%
1998,Montana,653998,662582,331551,50.7%
1998,Nebraska,1197953,1247656,545238,45.5%
1998,Nevada,1233386,1402851,435790,35.3%
1998,New Hampshire,878508,903630,318940,36.3%
1998,New Jersey,5505229,6261197,1813094,32.9%
1998,New Mexico,1199320,1286104,498703,41.6%
1998,New York,12263356,14139223,4735236,38.6%
1998,North Carolina,5624292,5948653,2012143,35.8%
1998,North Dakota,475629,481790,213358,44.9%
1998,Ohio,8237516,8424249,3404351,41.3%
1998,Oklahoma,2415036,2518285,873585,36.2%
1998,Oregon,2370381,2526500,1117747,47.2%
1998,Pennsylvania,9075961,9314795,3025152,33.3%
1998,Rhode Island,723772,790726,306445,42.3%
1998,South Carolina,2825173,2931120,1077135,38.1%
1998,South Dakota,534711,543074,262111,49.0%
1998,Tennessee,4092745,4217608,976236,23.9%
1998,Texas,12490423,14504988,3738078,29.9%
1998,Utah,1381989,1467078,494909,35.8%
1998,Vermont,444772,453574,218120,49.0%
1998,Virginia,4900523,5222121,1148861,23.4%
1998,Washington,3930400,4294765,1902482,48.4%
1998,West Virginia,1388176,1403549,351277,25.3%
1998,Wisconsin,3801514,3945060,1760836,46.3%
1998,Wyoming,350136,359119,174888,49.9%
1996,United States,186347044,200015917,96262935,51.7%
1996,Alabama,3144249,3227688,1534349,48.8%
1996,Alaska,404180,423702,241620,59.8%
1996,Arizona,3079908,3414380,1404405,45.6%
1996,Arkansas,1844689,1903094,884262,47.9%
1996,California,18644593,23076427,10019484,53.7%
1996,Colorado,2770252,2939929,1510704,54.5%
1996,Connecticut,2337160,2528212,1392614,59.6%
1996,Delaware,528630,559598,270810,51.2%
1996,District of Columbia,398839,450182,185726,46.6%
1996,Florida,10219294,11509122,5300927,51.9%
1996,Georgia,5181708,5555577,2298899,44.4%
1996,Hawaii,820055,895753,360120,43.9%
1996,Idaho,825329,856420,489481,59.3%
1996,Illinois,8215662,8927254,4311391,52.5%
1996,Indiana,4302745,4397367,2135431,49.6%
1996,Iowa,2098332,2154320,1234075,58.8%
1996,Kansas,1856507,1922601,1063452,57.3%
1996,Kentucky,2880808,2938362,1388707,48.2%
1996,Louisiana,3087693,3163302,1783959,57.8%
1996,Maine,929970,944106,605897,65.2%
1996,Maryland,3530148,3817454,1780870,50.4%
1996,Massachusetts,4385268,4723380,2559180,58.4%
1996,Michigan,6954059,7201527,3848844,55.3%
1996,Minnesota,3319509,3473117,2192640,66.1%
1996,Mississippi,1949309,1986327,893857,45.9%
1996,Missouri,3919885,4035666,2158065,55.1%
1996,Montana,645052,652991,407083,63.1%
1996,Nebraska,1188034,1230047,677415,57.0%
1996,Nevada,1134065,1271617,464279,40.9%
1996,New Hampshire,855287,878569,499053,58.3%
1996,New Jersey,5456334,6152216,3075860,56.4%
1996,New Mexico,1172262,1249597,556074,47.4%
1996,New York,12175850,13942462,6316129,51.9%
1996,North Carolina,5435970,5717844,2515807,46.3%
1996,North Dakota,475898,481497,266411,56.0%
1996,Ohio,8185999,8366250,4534434,55.4%
