year,state,VEP,VAP
1996,New York,12175850,13942462
1996,North Carolina,5435970,5717844
1996,North Dakota,475898,481497
1996,Ohio,8185999,8366250
1996,Oklahoma,2368311,2461718
1996,Oregon,2309051,2445442
1996,Pennsylvania,9063470,9283893
1996,Rhode Island,717041,781307
1996,South Carolina,2731064,2825088
1996,South Dakota,529793,537038
1996,Tennessee,3984092,4094014
1996,Texas,12072149,13887542
1996,Utah,1326919,1394017
1996,Vermont,435687,443874
1996,Virginia,4811632,5106297
1996,Washington,3829308,4147127
1996,West Virginia,1386621,1400343
1996,Wisconsin,3763240,3886906
1996,Wyoming,345112,353354
1994,United States,182623348,195258350
1994,Alabama,3095745,3170782
1994,Alaska,399435,417053
1994,Arizona,2892171,3169857
1994,Arkansas,1801161,1849361
1994,California,18479124,22721586
1994,Colorado,2648684,2785952
1994,Connecticut,2335579,2515100
1994,Delaware,512941,540474
1994,District of Columbia,411886,463680
1994,Florida,9810247,11016840
1994,Georgia,4978431,5293282
1994,Hawaii,808904,882189
1994,Idaho,784076,809957
1994,Illinois,8175312,8819582
1994,Indiana,4235008,4315664
1994,Iowa,2077709,2128370
1994,Kansas,1837694,1893521
1994,Kentucky,2829881,2879413
1994,Louisiana,3038660,3109456
1994,Maine,918204,932164
1994,Maryland,3480270,3751305
1994,Massachusetts,4353287,4668100
1994,Michigan,6856388,7081498
1994,Minnesota,3253779,3385687
1994,Mississippi,1903794,1935054
1994,Missouri,3858946,3958762
1994,Montana,622246,629335
1994,Nebraska,1164502,1201826
1994,Nevada,1032456,1143487
1994,New Hampshire,829590,851104
1994,New Jersey,5392423,6059401
1994,New Mexico,1128243,1195183
1994,New York,12192316,13861352
1994,North Carolina,5244552,5477604
1994,North Dakota,468989,473993
1994,Ohio,8132122,8292312
1994,Oklahoma,2327519,2410272
1994,Oregon,2229242,2344505
1994,Pennsylvania,9043585,9241090
1994,Rhode Island,716002,776723
1994,South Carolina,2663830,2747987
1994,South Dakota,518815,524910
1994,Tennessee,3850228,3945407
1994,Texas,11719888,13334014
1994,Utah,1248726,1302522
1994,Vermont,426953,434549
1994,Virginia,4718968,4983515
1994,Washington,3715174,3994036
1994,West Virginia,1379339,1392499
1994,Wisconsin,3692668,3801543
1994,Wyoming,337032,344492
1992,United States,179655523,190777923
1992,Alabama,3030549,3096959
1992,Alaska,389898,406653
1992,Arizona,2671933,2897181
1992,Arkansas,1751083,1789420
1992,California,18460157,22573381
1992,Colorado,2494998,2602217
1992,Connecticut,2356937,2521774
1992,Delaware,499266,523661
1992,District of Columbia,427102,477564
1992,Florida,9506230,10591116
1992,Georgia,4766958,5037354
1992,Hawaii,795148,866114
1992,Idaho,734855,756119
1992,Illinois,8113900,8688184
1992,Indiana,4162678,4230602
1992,Iowa,2057690,2098809
1992,Kansas,1810750,1857444
1992,Kentucky,2772600,2814763
1992,Louisiana,2997301,3063068
1992,Maine,915082,928998
1992,Maryland,3440015,3695298
1992,Massachusetts,4346897,4640629
1992,Michigan,6786593,6990822
1992,Minnesota,3187255,3298080
1992,Mississippi,1854797,1882100
1992,Missouri,3792675,3880005
1992,Montana,593345,599859
1992,Nebraska,1149525,1178965
1992,Nevada,940066,1028056
1992,New Hampshire,814160,833997
1992,New Jersey,5398559,6000364
1992,New Mexico,1073421,1131081
1992,New York,12227775,13799670
1992,North Carolina,5077494,5259564
1992,North Dakota,462631,467130
1992,Ohio,8063595,8208502
1992,Oklahoma,2293931,2366029
1992,Oregon,2144867,2241507
1992,Pennsylvania,9010940,9188416
1992,Rhode Island,721593,779266
1992,South Carolina,2610725,2683852
1992,South Dakota,503759,508841
1992,Tennessee,3726024,3811036
1992,Texas,11356487,12747860
1992,Utah,1162363,1203861
1992,Vermont,419810,426860
1992,Virginia,4622125,4856799
1992,Washington,3575852,3827227
1992,West Virginia,1365368,1377282
1992,Wisconsin,3619273,3712414
1992,Wyoming,324253,331170
1990,United States,176629259,186158841
1990,Alabama,2956385,3012797
1990,Alaska,364419,379863
1990,Arizona,2523614,2705468
1990,Arkansas,1710799,1742746
1990,California,18156500,22061053
1990,Colorado,2366650,2447513
1990,Connecticut,2383795,2538398
1990,Delaware,486760,507016
1990,District of Columbia,441742,489808
1990,Florida,9145312,10137720
1990,Georgia,4588953,4803269
1990,Hawaii,770836,838633
1990,Idaho,690154,707535
1990,Illinois,8029525,8535069
1990,Indiana,4080236,4135602
1990,Iowa,2030935,2065490
1990,Kansas,1783412,1821368
1990,Kentucky,2722356,2755670
1990,Louisiana,2959148,3020682
1990,Maine,910982,924839
1990,Maryland,3397126,3632477
1990,Massachusetts,4384671,4660342
1990,Michigan,6693069,6872954
1990,Minnesota,3136830,3225335
1990,Mississippi,1824156,1850099
1990,Missouri,3740308,3821136
1990,Montana,573045,579158
1990,Nebraska,1131746,1154859
1990,Nevada,858018,926572
1990,New Hampshire,814549,832887
1990,New Jersey,5429251,5951541
1990,New Mexico,1026902,1076522
1990,New York,12271903,13742688
1990,North Carolina,4938968,5073437
1990,North Dakota,461711,465851
1990,Ohio,7975680,8103382
1990,Oklahoma,2251719,2313340
1990,Oregon,2057833,2137314
1990,Pennsylvania,8962083,9120122
1990,Rhode Island,725084,780448
1990,South Carolina,2537384,2598170
1990,South Dakota,494849,499072
1990,Tennessee,3624940,3693970
1990,Texas,11034190,12232761
1990,Utah,1086050,1116922
1990,Vermont,415564,422130
1990,Virginia,4512504,4715129
1990,Washington,3421256,3634031
1990,West Virginia,1347723,1358773
1990,Wisconsin,3541548,3617625
1990,Wyoming,312961,319255
1988,United States,173579281,181955484
1988,Alabama,2901744,2949934
1988,Alaska,355023,369260
1988,Arizona,2454254,2609995
1988,Arkansas,1689491,1717388
1988,California,17738700,21249801
1988,Colorado,2327768,2396786
1988,Connecticut,2379699,2525021
1988,Delaware,472441,489696
1988,District of Columbia,453636,502362
1988,Florida,8777510,9651236
1988,Georgia,4459739,4631342
1988,Hawaii,739890,803568
1988,Idaho,667345,682522
1988,Illinois,7950848,8410414
1988,Indiana,3996319,4045785
1988,Iowa,2021793,2052326
1988,Kansas,1774451,1808604
1988,Kentucky,2680364,2709782
1988,Louisiana,2941023,3005785
1988,Maine,888612,901850
1988,Maryland,3325582,3535730
1988,Massachusetts,4385728,4642061
1988,Michigan,6608812,6773776
1988,Minnesota,3087194,3166668
1988,Mississippi,1792847,1815826
1988,Missouri,3696905,3769751
1988,Montana,568014,573791
1988,Nebraska,1125252,1144305
1988,Nevada,768131,823940
1988,New Hampshire,800468,817358
1988,New Jersey,5435008,5904776
1988,New Mexico,1002876,1046754
1988,New York,12300666,13659215
1988,North Carolina,4794041,4903045
1988,North Dakota,466684,470652
1988,Ohio,7869099,7986220
1988,Oklahoma,2245785,2300258
1988,Oregon,1982355,2055379
1988,Pennsylvania,8892826,9037056
1988,Rhode Island,721773,771407
1988,South Carolina,2453644,2504635
1988,South Dakota,494034,497633
1988,Tennessee,3551452,3609081
1988,Texas,10833436,11877787
1988,Utah,1043170,1069800
1988,Vermont,404795,411136
1988,Virginia,4396900,4571637
1988,Washington,3282173,3465082
1988,West Virginia,1347692,1358249
1988,Wisconsin,3489742,3558322
1988,Wyoming,315073,320695
1986,United States,170396029,177922330
1986,Alabama,2869652,2911819
1986,Alaska,351841,364871
1986,Arizona,2319046,2452624
1986,Arkansas,1681564,1706578
1986,California,17166275,20222886
1986,Colorado,2309652,2372880
1986,Connecticut,2344327,2479722
1986,Delaware,455609,470828
1986,District of Columbia,465993,508553
1986,Florida,8384015,9158241
1986,Georgia,4300049,4450093
1986,Hawaii,715459,775534
1986,Idaho,663126,677205
1986,Illinois,7912733,8343755
1986,Indiana,3943714,3990379
1986,Iowa,2020678,2049547
1986,Kansas,1757001,1788426
1986,Kentucky,2661218,2687605
1986,Louisiana,3014498,3069021
1986,Maine,858200,870604
1986,Maryland,3216833,3401061
1986,Massachusetts,4326264,4560556
1986,Michigan,6520661,6674856
1986,Minnesota,3024070,3089544
1986,Mississippi,1782721,1804699
1986,Missouri,3655213,3717988
1986,Montana,572113,577604
1986,Nebraska,1123099,1141336
1986,Nevada,700192,747283
1986,New Hampshire,760526,775686
1986,New Jersey,5396487,5819614
1986,New Mexico,987220,1026160
1986,New York,12263480,13512043
1986,North Carolina,4653016,4749053
1986,North Dakota,473962,477812
1986,Ohio,7781083,7891503
1986,Oklahoma,2290182,2343190
1986,Oregon,1928782,1990233
1986,Pennsylvania,8820459,8955720
1986,Rhode Island,711034,756297
1986,South Carolina,2393329,2437430
1986,South Dakota,492333,495833
1986,Tennessee,3478867,3532177
1986,Texas,10786533,11732625
1986,Utah,1024337,1049339
1986,Vermont,389843,396034
1986,Virginia,4240797,4394143
1986,Washington,3151152,3310457
1986,West Virginia,1370305,1380916
1986,Wisconsin,3432034,3495584
1986,Wyoming,328971,334385
1984,United States,167701904,173994610
1984,Alabama,2831099,2867180
1984,Alaska,343030,354410
1984,Arizona,2151391,2263826
1984,Arkansas,1668136,1689480
1984,California,16618345,19270739
1984,Colorado,2267668,2325829
1984,Connecticut,2300533,2431057
1984,Delaware,442354,455312
1984,District of Columbia,471669,505550
1984,Florida,7976805,8656427
1984,Georgia,4119852,4243165
1984,Hawaii,694187,750909
1984,Idaho,662771,675772
1984,Illinois,7922605,8327065
1984,Indiana,3916362,3960870
1984,Iowa,2057482,2084995
1984,Kansas,1751223,1779487
1984,Kentucky,2643027,2672424
1984,Louisiana,3019930,3072074
1984,Maine,840251,852022
1984,Maryland,3113967,3278321
1984,Massachusetts,4273437,4486676
1984,Michigan,6407156,6550877
1984,Minnesota,2982015,3039490
1984,Mississippi,1766654,1787243
1984,Missouri,3617948,3671506
1984,Montana,578925,584162
1984,Nebraska,1135012,1152310
1984,Nevada,656862,697185
1984,New Hampshire,718967,732480
1984,New Jersey,5318696,5699440
1984,New Mexico,956246,990632
1984,New York,12232120,13373558
1984,North Carolina,4512013,4598151
1984,North Dakota,482655,486449
1984,Ohio,7732456,7836806
1984,Oklahoma,2324445,2373014
1984,Oregon,1906880,1962501
1984,Pennsylvania,8790815,8918353
1984,Rhode Island,697537,739064
1984,South Carolina,2329080,2368236
1984,South Dakota,494651,497849
1984,Tennessee,3415760,3463234
1984,Texas,10582774,11397758
1984,Utah,998820,1022083
1984,Vermont,381479,387620
1984,Virginia,4100160,4234017
1984,Washington,3072714,3213263
1984,West Virginia,1391427,1401733
1984,Wisconsin,3409202,3468053
1984,Wyoming,338733,343957
1982,United States,160466919,166027633
1982,Alabama,2780689,2813033
1982,Alaska,307558,316787
1982,Arizona,2017098,2112246
1982,Arkansas,1639482,1656707
1982,California,16161555,18448245
1982,Colorado,2196263,2248839
1982,Connecticut,2253328,2369975
1982,Delaware,430257,441374
1982,District of Columbia,470719,500492
1982,Florida,7565499,8139171
1982,Georgia,3945107,4047788
1982,Hawaii,671172,724189
1982,Idaho,650534,662251
1982,Illinois,7908220,8284606
1982,Indiana,3879314,3921907
1982,Iowa,2068844,2094031
1982,Kansas,1736298,1761238
1982,Kentucky,2615445,2642810
1982,Louisiana,2982702,3029834
1982,Maine,817814,828907
1982,Maryland,3034834,3174995
1982,Massachusetts,4184146,4375262
1982,Michigan,6357552,6498711
1982,Minnesota,2943169,2993256
1982,Mississippi,1743267,1762406
1982,Missouri,3567803,3615526
1982,Montana,569629,574592
1982,Nebraska,1128918,1145316
1982,Nevada,621060,655823
1982,New Hampshire,686264,698424
1982,New Jersey,5224732,5563627
1982,New Mexico,919311,949133
1982,New York,12118685,13150573
1982,North Carolina,4347870,4427095
1982,North Dakota,476851,480367
1982,Ohio,7692059,7793022
1982,Oklahoma,2302670,2346265
1982,Oregon,1895706,1946116
1982,Pennsylvania,8749931,8869173
1982,Rhode Island,684977,723060
1982,South Carolina,2260577,2297223
1982,South Dakota,489474,492367
1982,Tennessee,3357236,3393233
1982,Texas,10228820,10910762
1982,Utah,962724,984073
1982,Vermont,372982,379067
1982,Virginia,3960296,4076585
1982,Washington,2999997,3138109
1982,West Virginia,1399303,1409116
1982,Wisconsin,3372875,3426394
1982,Wyoming,344218,349060
1980,United States,159635102,164445475
1980,Alabama,2726249,2753078
1980,Alaska,270122,277261
1980,Arizona,1890167,1968947
1980,Arkansas,1610104,1624917
1980,California,15610966,17551451
1980,Colorado,2071959,2118092
1980,Connecticut,2201356,2305904
1980,Delaware,421344,430879
1980,District of Columbia,470956,496230
1980,Florida,7088658,7575002
1980,Georgia,3791652,3870251
1980,Hawaii,646583,695906
1980,Idaho,633624,644004
1980,Illinois,7868300,8216218
1980,Indiana,3846321,3885473
1980,Iowa,2070935,2093321
1980,Kansas,1704420,1726471
1980,Kentucky,2562572,2592185
1980,Louisiana,2868792,2910776
1980,Maine,799746,810240
1980,Maryland,2964704,3081409
1980,Massachusetts,4110721,4281265
1980,Michigan,6374955,6514790
1980,Minnesota,2882406,2929927
1980,Mississippi,1704163,1719825
1980,Missouri,3529489,3571609
1980,Montana,554636,559165
1980,Nebraska,1115142,1129653
1980,Nevada,573118,602463
1980,New Hampshire,660560,671558
1980,New Jersey,5123773,5420255
1980,New Mexico,873515,897946
1980,New York,12006100,12932357
1980,North Carolina,4203817,4272156
1980,North Dakota,462223,465447
1980,Ohio,7637813,7732705
1980,Oklahoma,2162051,2201257
1980,Oregon,1880863,1925651
1980,Pennsylvania,8664166,8774885
1980,Rhode Island,675067,709692
1980,South Carolina,2176721,2212354
1980,South Dakota,484328,486893
1980,Tennessee,3285608,3318036
1980,Texas,9572904,10120613
1980,Utah,915484,934767
1980,Vermont,363143,369147
1980,Virginia,3830887,3927383
1980,Washington,2923670,3037193
1980,West Virginia,1387231,1396595
1980,Wisconsin,3322053,3371087
1980,Wyoming,326644,330784
2016,United States,230931921.4187018,250055734
2016,Alabama,3609447.0466447496,3770142
2016,Alaska,522679.48070152896,555367
2016,Arizona,4740309.714886534,5331034
2016,Arkansas,2140097.3149576252,2286625
2016,California,25104843.604425017,30201571
2016,Colorado,3974405.4299464957,4305728
2016,Connecticut,2582760.698714465,2821935
2016,Delaware,691720.362018256,749872
2016,District of Columbia,515248.491451914,562329
2016,Florida,14601066.180378672,16565588
2016,Georgia,6959962.723713841,7828207
2016,Hawaii,1012859.80627427,1120465
2016,Idaho,1166705.9287973752,1253925
2016,Illinois,8985442.595061442,9866799
2016,Indiana,4849936.893840414,5063393
2016,Iowa,2288536.45443637,2406915
2016,Kansas,2054025.4521446452,2192423
2016,Kentucky,3282420.2264879877,3430652
2016,Louisiana,3384434.6941816276,3571652
2016,Maine,1058372.474259187,1078037
2016,Maryland,4189616.3319449,4670900
2016,Massachusetts,4948028.037642483,5442458
2016,Michigan,7420628.345629425,7744567
2016,Minnesota,3973203.633484636,4240423
2016,Mississippi,2191240.774156506,2268089
2016,Missouri,4517924.74323584,4710784
2016,Montana,804250.46270928,817702
2016,Nebraska,1343820.517152505,1436437
2016,Nevada,1961586.595133186,2276281
2016,New Hampshire,1042795.401009863,1076739
2016,New Jersey,6013655.777734984,6959892
2016,New Mexico,1464514.781820075,1591069
2016,New York,13604645.247180376,15557982
2016,North Carolina,7352500.749922196,7880013
2016,North Dakota,566783.096739048,581188
2016,Ohio,8736807.846820975,9007953
2016,Oklahoma,2778218.72906224,2965905
2016,Oregon,3024174.129164682,3244277
2016,Pennsylvania,9691159.72906941,10108486
2016,Rhode Island,786012.07415575,848975
2016,South Carolina,3709283.2473505,3883145
2016,South Dakota,631173.182139184,653841
2016,Tennessee,4909425.946757243,5164969
2016,Texas,17448909.75107195,20671564
2016,Utah,1991885.170318432,2144784
2016,Vermont,494870.952235264,506048
2016,Virginia,6027152.41671601,6551390
2016,Washington,5123019.658970346,5691833
2016,West Virginia,1423030.933409565,1453201
2016,Wisconsin,4285071.015927607,4495783
2016,Wyoming,429681.56698944396,446396
